Time(Iteration),CAB,LinUCB
0,3.0837410648,5.8708418075
1,5.14476344108,11.1881282427
2,7.7590944657,15.2687823254
3,9.41964009932,17.6922229961
4,11.3311763524,20.7137156932
5,14.5246402035,23.6892310904
6,16.1282740289,26.1224189135
7,18.5354201879,28.5038380171
8,19.719489795,30.3919084213
9,21.7141241085,32.2126601839
10,23.0051359046,34.2408444259
11,24.1909113009,35.8299425415
12,25.1240947169,37.1090174729
13,26.1306877396,38.5150020228
14,26.8781877023,39.6015203552
15,28.2967954907,41.0161941187
16,29.1552992791,41.9025895378
17,30.0930640824,42.3424858069
18,30.7233042482,43.339833962
19,31.412801352,43.7907421123
20,32.4387297308,44.1587262599
21,33.0442141571,44.77504558
22,33.7759069053,45.2103400129
23,34.4166519352,45.9919225866
24,35.0335401525,46.6184386347
25,35.5009953558,47.2677281169
26,36.0628616638,47.4850616195
27,36.5708489437,47.9423764844
28,37.0057082293,48.441137373
29,37.6244067872,49.443457444
30,38.008965009,49.8763991803
31,38.5255101364,50.3540825615
32,38.7997426882,50.5767232996
33,39.6698474674,50.9487129805
34,39.9770159774,51.0188717272
35,40.255346307,51.2689334768
36,40.4289078791,51.3865930758
37,40.5346150672,52.0714373693
38,40.7267103089,52.2813852495
39,41.0558671504,52.4703112479
40,41.1334173917,52.6148710745
41,41.3252222702,52.8404266228
42,41.5596649259,53.2059229301
43,41.5596649259,53.3147401456
44,41.7554811789,53.6264213729
45,42.0425572735,53.7637786578
46,42.3019662112,54.0423938926
47,42.5495446777,54.1390987679
48,42.6794549719,54.278227033
49,42.8937091317,54.4036889238
50,42.8937091317,54.5013986875
51,43.0454067196,54.603173476
52,43.2646641494,54.8668291478
53,43.3307688678,55.0267466071
54,43.4156802938,55.1796172318
55,43.5668991248,55.3734662993
56,43.8084048002,55.5383791722
57,43.867496673,55.5398971727
58,43.903091978,55.5708476386
59,43.9153230343,55.5852006322
60,44.0988381882,55.7537271447
61,44.3540040877,55.8209175058
62,44.5389479021,55.8484644927
63,44.6748669242,55.9092171065
64,44.7209099823,55.9510904481
65,44.7210005297,55.9511809954
66,45.0131980362,56.1579412265
67,45.0380647545,56.3059494867
68,45.3029869154,56.3829560922
69,45.3990389854,56.4325821418
70,45.4868836127,56.5240773509
71,45.7195417926,56.6258953514
72,45.9949459996,56.8612223989
73,46.1091851005,56.9595122358
74,46.2067671361,57.2137833946
75,46.2605145675,57.2865870573
76,46.2796272197,57.3218270783
77,46.298789695,57.3409895536
78,46.3632162528,57.3511674564
