Time(Iteration),LinUCB
0,1.86120765026
1,3.85167991009
2,6.09823877324
3,8.21406517538
4,10.5276193703
5,11.6701335695
6,13.511245522
7,15.0825544549
8,17.0585551331
9,18.9678106401
10,20.8767011925
11,22.7669952182
12,24.5501449752
13,26.4090253363
14,27.9415886975
15,29.2330814452
16,30.7432870827
17,32.1113596441
18,33.6481046914
19,35.0667100877
20,37.3161587297
21,38.4850544025
22,39.9640541966
23,41.0998673647
24,42.2409049613
25,43.4947266722
26,44.1920758079
27,45.4829449031
28,46.7317761016
29,47.5944712616
30,49.0944941344
31,49.9598242987
32,50.837111316
33,52.0140948169
34,52.9160068908
35,53.9968108831
36,55.1284656277
37,55.8838557026
38,57.158636563
39,58.056939063
40,59.0790867909
41,59.5472086094
42,60.4615262404
43,61.3116981865
44,62.338690437
45,62.9624814982
46,64.2157790961
47,65.0833691718
48,66.1635549
49,67.1881203479
50,68.2608099289
51,68.9385215978
52,69.729682906
53,71.1546454262
54,72.1811798595
55,73.0559230976
56,73.7250621148
57,74.6233833517
58,75.2899068824
59,76.3898254198
60,77.0909717296
61,77.8019815976
62,78.4191515761
63,78.9347375589
64,79.5996498359
65,80.6933768499
66,81.6078670486
67,82.5967262881
68,82.9823300271
69,83.3192720845
70,84.0674650586
71,84.5604414275
72,85.497660531
73,86.0399583339
74,86.6432450508
75,87.4522024297
76,88.1139216221
77,88.6902779687
78,89.4025719363
79,90.1586747357
80,90.7057833652
81,91.4987772008
82,91.9842847321
83,92.696176235
84,93.5807427281
85,94.1794221123
86,94.9046511365
87,95.6044395953
88,96.1295942182
89,96.7394072005
90,97.2483604878
91,97.7525595541
92,98.1621842801
93,99.15653331
94,99.835101221
95,100.366204456
96,100.877050303
97,101.518969577
98,101.928682603
99,102.409282648
100,103.025938386
101,103.57327372
102,104.212249646
103,104.896605275
104,105.479425109
105,105.841498958
106,106.101819159
107,106.621983025
108,107.112376215
109,107.57502618
110,107.918625902
111,108.58244207
112,108.971883439
113,109.686689188
114,110.152050922
115,110.452396764
116,110.849063086
117,111.196323909
118,111.433976445
119,111.931898226
120,112.369572663
121,112.620450445
122,113.191747117
123,113.45847518
124,114.007581313
125,114.700453318
126,115.234208761
127,116.008279089
128,116.672697085
129,117.111334749
130,117.630825979
131,118.111372072
132,118.66569207
133,119.062469039
134,119.53259787
135,119.930324536
136,120.355008439
137,120.910393925
138,121.287974516
139,121.728127768
140,122.320978651
141,122.75960835
142,123.284655464
143,123.749784505
144,124.103767235
145,124.46037453
146,124.803329889
147,125.353543472
148,125.620460956
149,125.988604605
150,126.377931947
151,126.692012829
152,127.051511698
153,127.494788975
154,127.756815054
155,128.061075035
156,128.525629071
157,128.919919384
158,129.146428864
159,129.267103026
160,129.752765932
161,130.093809784
162,130.480878041
163,130.840619425
164,131.229201706
165,131.630287284
166,132.025075017
167,132.387025095
168,132.630344324
169,132.937625783
170,133.270975723
171,133.640413539
172,133.969884052
173,134.277265754
174,134.678429758
175,135.01961565
176,135.299426793
177,135.587629769
178,135.903559858
179,136.206152496
180,136.720396613
181,136.895003663
182,137.283389877
183,137.644493927
184,138.100522387
185,138.621163654
186,138.759566273
187,139.344130334
188,139.607357181
189,139.998917599
190,140.469257587
191,140.851226914
192,141.348890101
193,141.638380381
194,141.973098801
195,142.184331909
196,142.403055242
197,142.730588658
198,143.100991892
199,143.82554086
200,144.056699804
201,144.369384337
202,144.618573375
203,144.857573047
204,145.339885065
205,145.649729099
206,145.768088336
207,146.077497644
208,146.316572373
209,146.586156559
210,146.848129768
211,147.380833639
212,147.625703003
213,148.093051123
214,148.42669815
215,148.680041351
216,148.892642466
217,149.250752489
218,149.475596944
219,149.920699282
220,150.268710028
221,150.598083748
222,150.74604696
223,151.237963259
224,151.409267876
225,151.590274139
226,152.06679749
227,152.391663484
228,152.577647696
229,152.768334398
230,153.044579901
231,153.174257775
232,153.614023175
233,153.749516662
234,154.010092351
235,154.306894445
236,154.588488264
237,155.011232713
238,155.346438893
239,155.664532007
240,156.126430376
241,156.352554011
242,156.419788613
243,156.697480243
244,156.958113844
245,157.295543448
246,157.607394707
247,157.813723232
248,158.268984627
249,158.436481516
250,158.921340605
251,159.331386065
252,159.629491434
253,160.013835556
254,160.425963464
255,160.731076994
256,160.85008111
257,161.104280468
258,161.400869596
259,161.538643605
260,161.750798428
261,162.104130754
262,162.47353094
263,162.71409607
264,162.895262033
265,163.299723721
266,163.455825859
267,163.602635937
268,163.679849002
269,163.981129028
270,164.174889565
271,164.528920415
272,164.895691662
273,165.066957578
274,165.29184611
275,165.40695233
276,165.708657576
277,166.038199986
278,166.151852892
279,166.344380132
280,166.497864265
281,166.878065936
282,167.095116534
283,167.350672398
284,167.626129641
285,167.868438024
286,168.094772874
287,168.263481576
288,168.738272097
289,168.974811464
290,169.342004094
291,169.536835511
292,169.939573843
293,170.181404846
294,170.38859409
295,170.680967858
296,170.871049943
297,170.904533063
298,171.104514912
299,171.254689283
300,171.50445678
301,171.691177147
302,171.828148208
303,171.952497722
304,172.260776975
305,172.449354045
306,172.802837522
307,172.950875705
308,173.215981551
309,173.420511812
310,173.530769562
311,173.834308746
312,174.293885822
313,174.735595814
314,174.93551352
315,175.235668115
316,175.505251762
317,175.770510302
318,175.980442336
319,176.061707661
320,176.223682838
321,176.469620078
322,176.74984086
323,176.882261003
324,177.165834245
325,177.457388982
326,177.725996879
327,177.83851793
328,178.296728797
329,178.546357742
330,178.664779857
331,178.815145815
332,179.036463685
333,179.158432659
334,179.359424214
335,179.58532985
336,179.870662402
337,180.022630262
338,180.229752417
339,180.596617358
340,180.753190406
341,181.081979128
342,181.327929482
343,181.447804862
344,181.719894897
345,181.951687617
346,182.226684049
347,182.39193854
348,182.602643137
349,182.890632289
350,183.097684447
351,183.288567135
352,183.45548366
353,183.625362498
354,183.956083661
355,184.162737543
356,184.288026506
357,184.430903334
358,184.600666002
359,184.810667952
360,185.017760536
361,185.139259219
362,185.414091362
363,185.628206044
364,185.755127844
365,185.821602734
366,185.909015266
367,186.059907513
368,186.410740697
369,186.729100223
370,186.961927404
371,187.2533858
372,187.51743628
373,187.818226186
374,188.007783964
375,188.290417926
376,188.460503464
377,188.706859025
378,189.081367019
379,189.194840384
380,189.335147123
381,189.514052943
382,189.733955704
383,189.936680247
384,190.1739864
385,190.342536801
386,190.419573716
387,190.695065799
388,190.90815225
389,191.137867331
390,191.275424068
391,191.460227328
392,191.676051526
393,191.861842069
394,191.999448517
395,192.375396012
396,192.650291729
397,192.9031365
398,193.027293968
399,193.211403307
400,193.321573672
401,193.525279311
402,193.774978269
403,194.004567062
404,194.131049685
405,194.45020599
406,194.548808795
407,194.881851389
408,195.12466522
409,195.297498614
410,195.520266604
411,195.719688235
412,195.797312578
413,195.938678209
414,196.139427333
415,196.414327725
416,196.590559419
417,196.740273403
418,197.150553663
419,197.363942643
420,197.459974494
421,197.636995447
422,197.824859609
423,198.001807606
424,198.244247581
425,198.455805716
426,198.612475828
427,198.850630426
428,199.060469186
429,199.220706038
430,199.488883767
431,199.629557133
432,199.844437885
433,199.980234484
434,200.229990338
435,200.367976641
436,200.539530058
437,200.726391993
438,200.917714348
439,201.012258574
440,201.412888022
441,201.818294907
442,201.876308741
443,202.039207056
444,202.320471465
445,202.536983249
446,202.602767728
447,202.823439043
448,202.903758255
449,203.051852994
450,203.274588505
451,203.449763466
452,203.715382593
453,203.963279409
454,204.137141676
455,204.384935364
456,204.531828007
457,204.701746234
458,204.81895553
459,205.064595623
460,205.278413078
461,205.376988584
462,205.456087087
463,205.669472153
464,205.81174434
465,205.934886037
466,206.098108969
467,206.304162181
468,206.456367865
469,206.650494178
470,206.820762996
471,206.958561573
472,207.060633168
473,207.157639156
474,207.247729656
475,207.383335645
476,207.603503837
477,207.763453714
478,207.99503552
479,208.264312208
480,208.400770362
481,208.601606162
482,208.851417896
483,209.110137467
484,209.286653115
485,209.573092304
486,209.703550946
487,209.882329539
488,210.021947581
489,210.191644996
490,210.31402167
491,210.494556332
492,210.759592537
493,210.993266942
494,211.206315222
495,211.445497888
496,211.690461082
497,211.819472914
498,211.967063868
499,212.248582501
