Time(Iteration),CAB_original
0,9.43055969563
1,16.6792591577
2,20.9093049799
3,24.86322481
4,28.9475358779
5,31.8349060792
6,35.5416380541
7,38.9123356111
8,41.5955647838
9,44.0725248088
10,46.0832319723
11,48.1202938256
12,49.2976537153
13,50.4563972481
14,51.098053728
15,52.2732186334
16,53.4556079589
17,54.5655172078
18,55.2259630059
19,56.1339777956
20,57.0350727083
21,58.4350701966
22,59.3592040338
23,60.143367986
24,60.8710267415
25,61.3766342227
26,61.844791906
27,62.847160646
28,63.7307856298
29,64.3981283353
30,65.4402129049
31,66.2847701573
32,66.9569333076
33,68.0058501216
34,68.9707275593
35,70.0081450618
36,70.7967300679
37,71.2140783162
38,71.6610875249
39,72.2017707456
40,72.9869846001
41,73.2759487622
42,73.8713057108
43,74.3854468403
44,74.601541253
45,75.2327952426
46,75.7212141292
47,76.2477390068
48,76.7776996981
49,77.2573681289
50,77.6294562262
51,77.9187650626
52,78.0173585627
53,78.0931603143
54,78.527711848
55,78.6187740666
56,78.7189441309
57,78.8792124624
58,79.1746794307
59,79.3162350046
60,79.5814489654
61,79.5814489654
62,79.8214072315
63,80.0394324576
64,80.1782428438
65,80.3034045319
66,80.5538519223
67,80.6144294036
68,80.9202716332
69,80.9498145227
70,81.0599390507
71,81.3546140724
72,81.4533885901
73,81.48023087
74,81.4871832225
75,81.5446059473
76,81.8374163061
77,82.0731088606
78,82.0869568897
79,82.1323913657
80,82.3898536785
81,82.4776390242
82,82.4846874994
83,82.708260237
84,82.7852622868
85,82.7852622868
86,82.9342042801
87,83.3893753947
88,83.3893753947
89,83.6199223624
90,83.6205435952
91,83.7735006647
92,83.8097759316
93,83.8423114484
94,83.9627563677
95,83.9788837832
96,83.9846199357
97,83.9846199357
98,84.0040029557
99,84.2505924186
100,84.2598329244
101,84.2644768348
102,84.2824807645
103,84.3379558516
104,84.4932584849
105,84.494121841
106,84.5806660837
107,84.780690073
108,84.8199175211
109,84.9209629742
110,84.9218489814
111,84.963119338
112,85.021366836
113,85.0370246529
114,85.0399227087
115,85.0732037312
116,85.1214909172
117,85.1355922659
118,85.2214987648
119,85.2297623254
120,85.2297623254
121,85.2373011244
122,85.2373011244
123,85.2608066686
124,85.2608066686
125,85.3530632934
126,85.4624252229
127,85.4624252229
128,85.5887004966
129,85.6111363985
130,85.6347999586
131,85.6862379363
132,85.692395707
133,85.7224032675
134,85.7224032675
135,85.7324736267
136,85.7482319625
137,85.7525464499
138,85.7525464499
139,85.7897720826
140,85.9083687056
141,85.9083687056
142,85.9240786892
143,85.9240786892
144,85.9240786892
145,85.92698526
146,85.9282768122
147,85.9512944528
148,85.9512944528
149,85.9512944528
150,85.9512944528
151,85.9592428176
152,86.1130446817
153,86.1214405014
154,86.1214405014
155,86.1394993972
156,86.1933225436
157,86.2010156468
158,86.2118078844
159,86.2118078844
160,86.2118078844
161,86.2118078844
162,86.2218535385
163,86.2673004606
164,86.2719169989
165,86.2719169989
166,86.2745547027
167,86.2745547027
168,86.2749562609
169,86.2777790066
170,86.2777790066
171,86.2777790066
172,86.2985868154
