Time(Iteration),CAB_original,LinUCB
0,5.35322924785,5.35322924785
1,9.67431174255,9.67431174255
2,13.8411360295,13.8411360295
3,18.2565623644,18.2565623644
4,20.9512101434,20.9512101434
5,22.9742964805,22.9742964805
6,25.2012663276,25.2012663276
7,27.1257508057,27.1257508057
8,29.4694634991,29.4694634991
9,31.6758408297,31.6758408297
10,33.6075242182,33.6075242182
11,34.8870763137,34.8870763137
12,35.9070527546,35.9070527546
13,36.763724245,36.763724245
14,38.1314059259,38.1314059259
15,38.5172470316,38.5172470316
16,39.4257976506,39.4257976506
17,39.66748989,39.66748989
18,39.8363382941,39.8363382941
19,40.3635480206,40.3635480206
20,40.7874123884,40.7874123884
21,41.529619898,41.529619898
22,42.0468864486,42.0468864486
23,42.402623977,42.402623977
24,42.7545098643,42.7545098643
25,42.9078749471,42.9078749471
26,43.1961202872,43.1961202872
27,43.6251045816,43.6251045816
28,43.9317534995,43.9317534995
29,44.603566788,44.603566788
30,44.6245848613,44.6245848613
31,44.8824295178,44.8824295178
32,45.1563582744,45.1563582744
33,45.2711242894,45.2711242894
34,45.8827358173,45.8827358173
35,46.0052613043,46.0052613043
36,46.3522232084,46.3522232084
37,46.4686074254,46.4686074254
38,46.6750760952,46.6750760952
39,46.9012615556,46.9012615556
40,46.933051516,46.933051516
41,47.013643656,47.013643656
42,47.1617378773,47.1617378773
43,47.3510428059,47.3510428059
44,47.3835125882,47.3835125882
45,47.5649086005,47.5649086005
46,47.6840621681,47.6840621681
47,47.9428887604,47.9428887604
48,48.1394442778,48.1394442778
49,48.3403857944,48.3403857944
50,48.4191063939,48.4191063939
51,48.4214460541,48.4214460541
52,48.4892315071,48.4892315071
53,48.6603437852,48.6603437852
54,48.7984000321,48.7984000321
55,48.8124583565,48.8124583565
56,48.8303774458,48.8303774458
57,48.857311951,48.857311951
58,48.9943730779,48.9943730779
59,49.0549063818,49.0549063818
60,49.1210981615,49.1210981615
61,49.1496237859,49.1496237859
62,49.201739252,49.201739252
63,49.203740252,49.203740252
64,49.3173293097,49.3173293097
65,49.3425652668,49.3425652668
66,49.3974284008,49.3974284008
67,49.4772187251,49.4772187251
68,49.5365385074,49.5365385074
69,49.5470821932,49.5470821932
70,49.6407493548,49.6407493548
71,49.7427295828,49.7427295828
72,49.78378884,49.78378884
73,49.8497693119,49.8497693119
74,49.8691224445,49.8691224445
75,50.0632217106,50.0632217106
76,50.0637911421,50.0637911421
77,50.1297049195,50.1297049195
78,50.2395660303,50.2395660303
79,50.2436989876,50.2436989876
80,50.2608000571,50.2608000571
81,50.2862647265,50.2862647265
82,50.3316016651,50.3316016651
83,50.3376742016,50.3376742016
84,50.3376742016,50.3376742016
85,50.3377572288,50.3377572288
86,50.5990222527,50.5990222527
87,50.6144050409,50.6144050409
88,50.6482556691,50.6482556691
89,50.6609758277,50.6609758277
90,50.6925305593,50.6925305593
91,50.6932511298,50.6932511298
92,50.7387674471,50.7387674471
93,50.8282145458,50.8282145458
94,50.8631150593,50.8631150593
95,50.8906763488,50.8906763488
96,50.8918730543,50.8918730543
97,50.9180135679,50.9180135679
98,50.9201632949,50.9201632949
99,50.9237230512,50.9237230512
100,51.0544405366,51.0544405366
101,51.0908758477,51.0908758477
102,51.106480943,51.106480943
103,51.1220306056,51.1220306056
104,51.1727138311,51.1727138311
105,51.2030871366,51.2030871366
106,51.2030871366,51.2030871366
107,51.2071486649,51.2071486649
108,51.2071486649,51.2071486649
109,51.2097638628,51.2097638628
110,51.2723052076,51.2723052076
111,51.2723052076,51.2723052076
112,51.33727784,51.33727784
113,51.4076212586,51.4076212586
114,51.4397591844,51.4397591844
115,51.444502169,51.444502169
116,51.4454075408,51.4454075408
117,51.5316722854,51.5316722854
118,51.5320158201,51.5320158201
119,51.6123559717,51.6123559717
120,51.6453802167,51.6453802167
121,51.6453802167,51.6453802167
122,51.781007015,51.781007015
123,51.809446854,51.809446854
