Time(Iteration),CAB
0,4.00582486905
1,7.90347575398
2,11.0528847595
3,14.4377135471
4,17.4775866347
5,20.143947602
6,23.3624011251
7,26.0774880761
8,28.3718749448
9,30.8099710938
10,32.8665808627
11,35.0955237515
12,37.4683702938
13,39.9922457572
14,42.4755442457
15,44.0056830367
16,46.2797111831
17,48.7414174173
18,50.1970044878
19,52.7610049401
20,54.8520962937
21,56.9671772492
22,58.6854425768
23,60.950726481
24,62.7056431072
25,64.5149843806
26,66.3710462419
27,67.6219862219
28,69.314575315
29,70.8519079195
30,72.0049463029
31,73.5210563309
32,75.0196048808
33,76.4979348216
34,77.6268988814
35,78.8502036777
36,80.2088237551
37,81.530078409
38,82.8396627569
39,84.0292666434
40,85.0335796959
41,86.1058901899
42,87.2463761219
43,88.2773926984
44,89.6227228079
45,90.6777469651
46,92.1149453407
47,93.2567648523
48,94.8153334801
49,96.2424158327
50,97.6780050887
51,98.9272484786
52,100.513772321
53,101.450133698
54,102.370132763
55,103.395374275
56,104.339152848
57,105.830416191
58,107.839414146
59,109.181135869
60,110.225023156
61,111.317047632
62,112.274223539
63,113.615027239
64,114.756048103
65,116.203437941
66,117.087046933
67,118.478696814
68,119.754124347
69,120.894340241
70,121.909616378
71,122.831882311
72,123.757040896
73,124.958018895
74,125.95440946
75,126.7439011
76,127.696894345
77,128.794121076
78,129.988361953
79,130.845076114
80,131.993105337
81,133.147832159
82,134.681695833
83,136.051909195
84,136.717636278
85,137.750500334
86,138.732712252
87,139.785528097
88,140.661167701
89,141.724875399
90,142.362769425
91,143.275280046
92,144.586149207
93,145.705624675
94,146.611374281
95,147.649936654
96,148.650476292
97,149.769969954
98,150.606323604
99,151.732165851
100,152.466192933
101,153.295807557
102,154.286885762
103,155.366365443
104,155.92808469
105,157.025892825
106,157.920918123
107,158.660541786
108,159.326770778
109,160.149249102
110,160.939341675
111,161.844819258
112,162.707586547
113,163.302327089
114,164.394223613
115,164.984778192
116,165.877554363
117,166.428705681
118,167.475130979
119,168.469244826
120,169.505948256
121,170.081757347
122,170.753294444
123,171.306071641
124,172.038969132
125,172.717367918
126,173.227962818
127,173.93744001
128,174.477611902
129,175.273900586
130,175.761790648
131,176.325330161
132,177.375752954
133,178.26962048
134,178.975799754
135,179.824896727
136,180.372017401
137,181.23883865
138,181.821399262
139,182.469285544
140,183.055823229
141,183.848053477
142,184.532901445
143,185.158359648
144,185.859200998
145,186.191025796
146,186.805571624
147,187.275042133
148,187.50922821
149,188.113172111
150,188.71536265
151,189.292770031
152,190.063078428
153,190.790282306
154,191.512538547
155,192.180391149
156,192.813501027
157,193.312451048
158,193.766621079
159,194.257139567
160,194.835416085
161,195.297810691
162,195.570645114
163,196.496670274
164,196.959673577
165,197.273048927
166,197.6499652
167,198.289326267
168,198.894518706
169,199.496201173
170,200.224630515
171,200.832526865
172,201.355349661
173,201.859254817
174,202.741810571
175,203.123892931
176,203.979419418
177,204.424815373
178,205.29182264
179,205.776079567
180,206.41729635
181,207.026067483
182,207.552620544
183,207.921793637
184,208.400385088
185,209.213409255
186,209.990308372
187,210.423569023
188,210.817149921
189,211.522355097
190,212.130534126
191,212.594860404
192,213.424265223
193,213.72801613
194,214.003538863
195,214.84229356
196,215.149466074
197,215.729938008
198,216.403652503
199,216.913569851
200,217.483465693
201,218.023552889
202,218.602776884
203,219.348294474
204,219.98830227
205,220.327453054
206,220.858049694
207,221.202622085
208,221.652763853
209,222.255697333
210,222.699892316
211,223.572313518
212,224.108185687
213,224.427409448
214,224.946375432
215,225.400381579
216,226.144418703
217,226.495030678
218,227.023099336
219,227.387599866
220,227.752847877
221,228.009984562
222,228.471398575
223,228.971724495
224,229.158798598
225,229.807648821
226,230.361049563
227,230.652812591
228,230.837262395
229,231.028843946
230,231.461133579
231,231.738173137
232,232.299691447
233,232.846860914
234,233.504152757
235,233.711367588
236,234.134912729
237,234.500055653
238,234.834109304
239,234.977292274
240,235.237448648
241,235.440218125
242,235.795960279
243,236.132531505
244,236.546271639
245,236.813008585
246,237.217615771
247,237.484378251
248,237.677868485
249,238.001808685
250,238.157012421
251,238.434519526
252,238.627648955
253,238.964179698
254,239.29648364
255,239.554177783
256,239.72962598
257,240.112006801
258,240.20987773
259,240.535716248
260,240.685470945
261,240.934684795
262,241.016394929
263,241.062740953
264,241.225298883
265,241.379389807
266,241.587113419
267,241.927958991
268,242.050218742
269,242.403425388
270,242.467043652
271,242.607144379
272,242.865242311
273,242.879963334
274,243.053959456
275,243.161230497
276,243.673899936
277,243.753174308
278,243.906932946
279,244.048398032
280,244.15763354
281,244.373110267
282,244.502134237
283,244.648248581
284,244.957282287
285,245.084805089
286,245.312958098
287,245.57104613
288,245.591489612
289,245.73434922
290,245.944643867
291,246.044529054
292,246.129434896
293,246.292015512
294,246.298763063
295,246.316395892
296,246.529473473
297,246.761533862
298,246.943935508
299,247.219577041
