Time(Iteration),CAB_User,CAB,CAB_original,LinUCB
0,4.08582011733,4.36709333359,4.08582011733,7.1665387558
1,6.51439268012,8.55382742949,6.51439268012,12.442965112
2,8.21910068671,10.352643622,8.21910068671,15.2230320735
3,10.2772099006,13.5764767722,10.2772099006,17.9552017804
4,12.0829037731,15.5056645252,12.0829037731,20.063598028
5,13.4398792619,17.9059013684,13.4398792619,21.941238077
6,14.6193305485,20.6370879793,14.6193305485,23.785396478
7,15.7279790639,23.4180685024,15.7279790639,25.5261805069
8,16.9608668748,24.8339711629,16.9608668748,27.7022696781
9,18.3450656089,27.1239997353,18.3450656089,28.8056708623
10,19.6010436694,27.7670904345,19.6010436694,29.9985510368
11,20.6811297655,29.2837104997,20.6811297655,31.0014498391
12,21.4929703257,30.180378263,21.4929703257,31.643165663
13,22.6543168163,31.4228719881,22.6543168163,32.3132949702
14,23.7168834862,32.7956099773,23.7168834862,33.5840479829
15,24.8580960107,34.7816916551,24.8580960107,34.4266304306
16,25.4130292698,36.3545733626,25.4130292698,35.0018539334
17,25.9304338206,37.2586223851,25.9304338206,35.7768418798
18,26.5463479916,38.6303837447,26.5463479916,36.1908996293
19,27.0479839332,39.0437211427,27.0479839332,36.654548501
20,27.3966731005,39.8229822459,27.3966731005,37.0036459432
21,28.1607411861,40.5509106793,28.1607411861,38.2721104031
22,28.9716423538,42.1030629905,28.9716423538,39.0302800334
23,29.3336936835,42.4574050693,29.3336936835,39.2792253541
24,29.8648103159,43.5068271342,29.8648103159,39.4817591916
25,30.3694967479,44.181123146,30.3694967479,40.410398976
26,30.8271799013,44.8165351887,30.8271799013,40.7070627943
27,31.4365535373,45.5998247001,31.4365535373,41.3526666767
28,31.8384874324,46.2937838084,31.8384874324,42.0940263765
29,32.1368132812,46.9260809224,32.1368132812,42.4285819494
30,32.7444788063,47.6204471892,32.7444788063,42.8577701453
31,33.5398913784,48.6622944422,33.5398913784,43.5904994791
32,33.8695452537,49.2935004801,33.8526938657,43.9807049164
33,33.9596371282,49.7378257666,33.9427857401,44.0901789917
34,34.4787298407,50.4652409951,34.418765237,44.8270830384
35,34.6872871177,51.3338278415,34.627322514,45.1048456687
36,34.9453369818,51.8528154852,34.8853723782,45.3409790595
37,35.4340516995,52.239712221,35.3769270555,45.9236512368
38,35.528123441,52.7755225919,35.470998797,46.0652145603
39,35.6758508835,53.4547040141,35.6103008482,46.40919921
40,36.0788398874,53.8780957069,36.0132898521,46.8341879213
41,36.645873653,54.5786265447,36.4923070047,47.176006417
42,36.6989043292,54.8203467537,36.605419905,47.3024718776
43,37.0912473878,55.3740809548,36.9977629636,47.6948149362
44,37.3328639523,55.8183349603,37.2393795282,48.0576151176
45,37.519364136,56.7288587156,37.4258797119,48.1601660054
46,37.6653568689,57.0091639637,37.5718724448,48.210610725
47,38.0125287105,57.3507320955,37.9190442864,48.7410301845
48,38.4632524066,57.7696322925,38.3819143461,49.2894336732
49,38.7559839371,58.562478628,38.6746458766,49.7069420396
50,39.0003843697,59.0856230362,38.9190463091,50.0021604816
51,39.2440759518,59.6855520555,39.1627378913,50.2155583379
52,39.2676316103,60.0124848697,39.1862935497,50.6119103932
53,39.6727864823,60.7964901804,39.5075660116,50.9703539746
54,39.8192635063,60.9693813584,39.6365538532,51.2509305132
55,40.0726983821,61.3184365281,39.889988729,51.3730973197
56,40.2546921563,61.9475984752,40.073964306,51.6548508698
57,40.6053254151,62.4526428613,40.3473315363,52.0235323248
58,40.9575681183,62.9772567099,40.6995742395,52.302981016
59,41.1428196521,63.253524025,40.8848257733,52.5310960279
60,41.2618312181,63.8928132594,41.0038373393,52.6192876539
61,41.5092079206,64.6083950848,41.2460933359,52.7890158169
62,41.5775456076,65.3471954442,41.3144310229,53.0323089975
63,41.6013528195,65.5023797071,41.3662272559,53.1274833841
64,41.7779511309,66.0885276118,41.5428255673,53.2918604484
65,41.9871867337,66.7162894006,41.7520611701,53.2958501711
66,42.2058382331,67.0814500316,41.9707126695,53.5057299616
67,42.3559931367,67.5656785809,42.1540301415,53.6493325415
68,42.4321677117,68.1233180068,42.2874675806,53.75090244
69,42.4554952786,68.4119763401,42.3107951475,53.774230007
70,42.5763098783,68.904096056,42.4316097472,54.0062462623
71,42.8298848959,69.5614134606,42.6851847648,54.1193396371
72,43.0149930119,69.8061674554,42.8253942332,54.2469525416
73,43.2133357346,70.0577727065,43.0237369559,54.3993076485
74,43.4656638495,70.3831195633,43.2760650708,54.6954272987
75,43.4704199725,70.5381574466,43.2808211938,54.9463174035
76,43.630473525,70.7273984553,43.4614379713,55.1499943386
77,43.6627955684,71.1496589441,43.4937600146,55.1823163819
78,43.8805876697,71.3376788833,43.7217583541,55.4368503282
79,43.9517293941,71.5943731815,43.7929000785,55.5495555991
80,44.1337034331,71.7786112997,43.9748741175,55.7334342454
81,44.2622204494,71.9614297019,44.1033911338,55.8839871782
82,44.2689324333,72.2692087477,44.1164605906,55.9528341674
83,44.4913461391,72.688086892,44.272145675,56.2517792829
84,44.5592710231,72.9811150907,44.2907684327,56.2856388235
85,44.7521192606,73.26852648,44.4836166702,56.478487061
86,44.9454432595,73.407704187,44.6769406692,56.7316264621
87,45.0739602112,73.65368329,44.8180272822,56.890000071
88,45.3472994263,73.7641892727,45.0913664973,56.9771361543
89,45.3540205113,74.0288903116,45.0980875822,56.9838572393
90,45.3902395162,74.3903434149,45.1343065871,57.0501577102
91,45.476943362,74.9722329673,45.2131438951,57.2396180059
92,45.59554382,75.2997759086,45.331744353,57.3474590969
93,45.6104367661,75.3811658944,45.4266263482,57.4136632083
94,45.6399571591,75.6487183042,45.47640942,57.4946574018
95,45.8178651423,75.8577791748,45.6543174032,57.5824533902
96,45.8526711022,76.1105645044,45.6891233631,57.7068729947
97,46.0007343214,76.5646736202,45.8371865823,57.9357766947
98,46.1109636207,76.6598786047,45.9474158817,58.0836386946
99,46.1565654128,76.8763713948,45.9930176737,58.0872512335
100,46.3635722377,77.2552079677,46.1292492373,58.2802601515
101,46.367802818,77.4864064667,46.1334798175,58.2844907317
102,46.3937961444,77.8024495601,46.159473144,58.4496593306
103,46.5431771214,78.0823582956,46.3088541209,58.5764812849
104,46.6294930035,78.2863051878,46.3958820499,58.662797167
105,46.7923451007,78.7436137849,46.5570999741,58.9027304051
106,46.8983371047,78.9256983406,46.6773636193,59.0955943313
107,47.0243564889,79.0414153576,46.7957985227,59.2142846705
108,47.0862606355,79.2855965251,46.8577026693,59.2761888172
109,47.1171121004,79.3834234462,46.8885541341,59.307040282
110,47.1351073872,79.531298007,46.9542336909,59.3504902547
111,47.2107512014,79.8024111751,47.0298775052,59.3997090421
112,47.2117778651,79.9267807635,47.0309041688,59.4035773977
113,47.3826309985,80.1690998648,47.2017573023,59.5637038274
114,47.4881753887,80.4037703802,47.3073016925,59.6107613017
115,47.5673796205,80.615748568,47.3865059242,59.6685296619
116,47.6649635975,80.7699990601,47.4840899013,59.7701649256
117,47.6674057673,80.9549109506,47.4865320711,59.7779754249
118,47.6694198754,81.2744044789,47.4865320711,59.7799895329
119,47.7101321869,81.383894627,47.5297620846,60.0053273169
120,47.8151940048,81.6323130735,47.6431470437,60.1187122761
121,47.8200144002,81.8903469581,47.6550114197,60.182682151
122,47.9986066197,82.146244012,47.8363686192,60.1986336415
123,48.1150329958,82.6356896174,47.9530287812,60.2059699093
124,48.1761883131,82.7110483043,48.0141840984,60.2296862738
125,48.2050482335,83.0722657045,48.0589724606,60.2606684232
126,48.3094155828,83.3046415508,48.1932245539,60.4024349619
127,48.3094155828,83.4928331873,48.1932245539,60.4024349619
128,48.3135581895,83.5835243268,48.2380679923,60.4718464155
129,48.3606981014,83.9522973751,48.2852079042,60.5412874354
130,48.430032033,83.9836054895,48.3010922593,60.5700324246
131,48.5110231964,84.1620581358,48.3820834227,60.6522342315
132,48.6172695522,84.4347139415,48.4883297785,60.7608183146
133,48.7381381598,84.6370431965,48.6091983861,60.8816869221
134,48.7986797055,84.8438930911,48.6697399318,60.9377416614
135,48.8225014397,84.9506105992,48.693561666,60.9615633956
136,48.9348534459,84.9802138188,48.8059136722,61.0896618147
137,49.064046043,85.1433842804,48.9351062693,61.0995717935
138,49.064046043,85.2542631205,48.9351062693,61.0995717935
139,49.1726128754,85.328823539,49.0436731017,61.1183641016
