Time(Iteration),CAB_User,CAB,LinUCB
0,3.93983630193,3.93983630193,6.93742622971
1,7.92557124477,7.92557124477,11.1374231635
2,11.4179500649,11.4179500649,15.9870927931
3,14.8665294066,14.8665294066,18.8841925861
4,16.4548034485,16.4548034485,22.2024483884
5,18.6014029909,18.6014029909,25.5352541156
6,19.8340285405,19.8340285405,28.0381279442
7,20.5192981647,20.5192981647,30.1134015312
8,21.9387916318,21.9387916318,31.179445578
9,23.1527391431,23.1527391431,32.5492457223
10,23.7373476067,23.7373476067,33.9292333658
11,24.4300169465,24.4300169465,35.7241623421
12,25.4120204806,25.4120204806,36.9880484876
13,26.3448576008,26.3448576008,38.8670106573
14,27.1513238883,27.1513238883,39.9154861214
15,27.8245172597,27.8245172597,40.8793741412
16,28.0759507259,28.0759507259,41.8929533036
17,28.7910047535,28.7910047535,42.9844818572
18,29.1203153076,29.1203153076,44.2665735955
19,29.6800603768,29.6800603768,44.973147684
20,30.6103443483,30.6103443483,45.7473848212
21,31.2052968277,31.2052968277,46.1889397037
22,31.6179178617,31.6179178617,46.9646129132
23,31.9162500386,31.9162500386,47.4011778201
24,32.4557232786,32.4557232786,47.8728611941
25,32.9706638869,32.9706638869,48.3804702425
26,33.369100552,33.369100552,48.8059696024
27,33.8712893739,33.8712893739,49.3121680195
28,34.5279126597,34.5279126597,50.0018754491
29,34.7787328106,34.7787328106,50.2091131238
30,35.1545603914,35.1545603914,50.7949500676
31,35.6547476389,35.6547476389,51.4150138363
32,35.8418886764,35.8418886764,51.6191918263
33,36.3983069197,36.3983069197,52.0050627056
34,36.740295695,36.740295695,52.3572422854
35,37.0963569738,37.0963569738,52.6829833342
36,37.5053160607,37.5053160607,52.7791480458
37,37.8466348504,37.8466348504,52.9869525162
38,38.0646319356,38.0646319356,53.2486813356
39,38.5494677764,38.5494677764,53.5184628915
40,38.9660485912,38.9660485912,53.6213646691
41,39.3354628172,39.3559011766,53.862850027
42,39.588385799,39.6088241584,54.0468877979
43,40.0230194504,40.0434578098,54.4369757413
44,40.4426420931,40.4368026268,54.7018857376
45,40.6927631897,40.6869237234,54.9041026146
