Time(Iteration),CAB_User
0,4.62517209797
1,8.0882641312
2,12.5073952578
3,15.9292923792
4,19.1978922576
5,22.1100051487
6,24.5154430157
7,26.9069884595
8,28.8418279968
9,31.9570402433
10,33.3865096667
11,35.0977709173
12,36.6932363688
13,37.9692973316
14,39.4525704738
15,40.41967411
16,41.6001326171
17,42.8832269652
18,43.66738642
19,44.2143034674
20,45.0654580887
21,46.0812612666
22,46.4030939634
23,46.8943011961
24,47.715021246
25,48.528179498
26,48.8709243371
27,49.1971907876
28,49.2442251202
29,49.7679122194
30,50.1526520679
31,50.7120789042
32,51.3006094262
33,51.7285024961
34,52.1413741259
35,52.8589070742
36,53.3246638738
37,53.7447209724
38,54.3824985419
39,54.6388396768
40,55.119194168
41,55.5248136641
42,55.7135945997
43,56.2039261237
44,56.3690627256
45,57.0236482801
46,57.353253124
47,58.0243396059
48,58.4798635136
49,58.8441237913
50,59.0196538931
51,59.1599533616
52,59.481319931
53,59.6592538945
54,59.7158172649
55,59.7251408705
56,59.7309194589
57,59.9474889611
58,60.0533365101
59,60.2021766892
60,60.462767747
61,60.5110180031
62,60.5881036375
63,60.7044352279
64,60.7624073511
65,61.1907228641
66,61.3984081712
67,61.448808855
68,61.6275521568
69,61.77445184
70,61.867959228
71,62.0602231329
72,62.2086951728
73,62.5852278105
74,62.6524574408
75,62.8107605061
76,62.9920878756
77,63.1941166343
78,63.3179124339
79,63.468582672
80,63.6555526815
81,63.7069378073
82,63.9176864416
83,63.9944440556
84,64.1339659788
85,64.5049232778
86,64.6054973095
87,64.63007066
88,64.7557896159
89,64.8218737464
90,64.9848286226
91,65.1957768063
92,65.2555621547
93,65.2908954313
94,65.3861510161
95,65.5469420734
96,65.6622083369
97,65.6899318201
98,65.7599122117
99,65.9097853178
100,65.9525008488
101,66.26862422
102,66.387371693
103,66.4449939406
104,66.4714425528
105,66.5668313468
106,66.63284903
107,66.7099191628
108,66.7457400365
109,66.7771418817
110,66.811397232
111,66.8587858253
112,66.8706780407
113,66.8973589864
114,66.9785654285
115,67.1005808205
116,67.1265712669
117,67.1558753618
118,67.1628956859
119,67.1628956859
120,67.2702851158
121,67.360534477
122,67.4206336034
123,67.4313475545
124,67.4921665886
125,67.5422808259
126,67.8063113692
127,67.8354893771
128,67.9058455198
129,67.9569471756
130,67.9872664746
131,68.0336061047
132,68.1672091204
133,68.3402067071
134,68.3694125194
135,68.4080797686
136,68.505151238
137,68.5534842152
138,68.6189707721
139,68.6258973191
140,68.6323512163
141,68.6902657439
142,68.7193365423
143,68.7222355159
144,68.8173904358
145,68.859229536
146,68.9039722393
147,69.0579814992
148,69.1934507896
149,69.2326624967
150,69.3435499611
151,69.4519277547
152,69.503833022
153,69.5369113189
154,69.5642317638
155,69.7131721883
156,69.8017321951
157,69.8886425523
158,69.9356968437
159,69.963216829
160,70.1545182776
161,70.1919251151
162,70.2771292138
163,70.348843738
164,70.3835852642
165,70.4011547161
166,70.4898212499
167,70.5141259565
168,70.5333356398
169,70.5600806339
170,70.5675458536
171,70.6177775442
172,70.6853277226
173,70.7734058159
174,70.9336799426
175,70.9512614496
176,70.9729481075
177,71.0282147369
178,71.0282147369
179,71.0446872689
180,71.0634019642
181,71.0634019642
182,71.1028919842
183,71.1825466991
184,71.2450522676
185,71.3490347241
186,71.3560245402
187,71.3857999935
188,71.4312142374
189,71.4354956932
190,71.4905479179
191,71.5085876823
192,71.5313379091
193,71.5418910891
194,71.54568688
195,71.6556234812
196,71.6556234812
197,71.6823335209
198,71.6823335209
199,71.8212360455
200,71.8663764108
201,71.8717621362
202,71.9169268837
203,71.9249030029
204,71.9408394185
205,71.9408394185
206,71.9936516158
207,71.9951798687
208,72.1017488188
209,72.2318275034
210,72.3062639841
211,72.3062639841
212,72.3298946044
213,72.3911945797
214,72.42642581
215,72.4740140956
216,72.5035954392
217,72.505722423
218,72.5292278254
219,72.5837286641
220,72.5837286641
221,72.6540993883
222,72.6782466486
223,72.6953665143
224,72.7241204653
225,72.7241204653
226,72.7626240019
227,72.8179240926
228,72.8228648108
229,72.8228648108
230,72.8606297556
231,72.8906468387
232,72.91112591
233,72.9323700464
234,72.949672042
235,72.9683592349
236,73.0092767398
237,73.0291295674
238,73.0816841969
239,73.0918383752
240,73.1347190605
241,73.1350375809
242,73.1574240752
243,73.2262005234
244,73.2657022086
245,73.2929752592
246,73.3239343582
247,73.3270498154
248,73.3389652414
249,73.3849859783
250,73.4131519136
251,73.432962116
252,73.498261962
253,73.5084253958
254,73.5111805432
255,73.5836124542
256,73.6220568214
257,73.6496060878
258,73.7465802394
259,73.75276005
260,73.761961773
261,73.8347066854
262,73.8347066854
263,73.972186199
264,73.9789152315
265,73.9815650164
266,74.0252558509
267,74.0252558509
268,74.0293071481
269,74.0293071481
270,74.0293071481
271,74.0363836811
272,74.072545433
273,74.0860067065
274,74.1053190794
275,74.1400288696
276,74.1467248917
277,74.1594619718
278,74.1669026825
279,74.2014744903
280,74.2014744903
281,74.2089216713
282,74.2707461233
283,74.2707461233
284,74.2985713775
285,74.2989145378
286,74.2989145378
287,74.3239501071
288,74.3669513867
289,74.3700819501
290,74.375823341
291,74.375823341
292,74.3790584474
293,74.4284301922
294,74.4543613105
295,74.4741608773
296,74.487262401
297,74.5186512048
298,74.5503326813
299,74.5929054285
300,74.6314708086
301,74.6533997236
302,74.6635858662
303,74.7455154804
304,74.7572143893
305,74.8572379631
306,74.8633498318
307,74.8660855629
308,74.8660855629
309,74.9169318668
310,74.9169318668
311,74.9371705764
312,74.9429113525
313,74.9592247883
314,74.9641472837
315,74.9657865056
316,75.0027549236
317,75.0027549236
318,75.0046964855
319,75.0173030059
320,75.047678335
321,75.0510172407
322,75.0556719649
323,75.0830453685
324,75.106420593
325,75.1112147272
326,75.1112147272
327,75.142211007
328,75.1438678275
329,75.2155249927
330,75.2155249927
331,75.224108427
332,75.224108427
333,75.224108427
334,75.2412381547
335,75.2624230688
336,75.2941628274
337,75.2996880962
338,75.3210386873
339,75.3557920143
340,75.3557920143
341,75.4026693166
342,75.4026693166
343,75.4305884883
344,75.4934995113
345,75.5163381134
346,75.5758174106
347,75.5969681941
348,75.7105846036
349,75.7121918083
350,75.729814381
351,75.7380050625
352,75.7812639202
353,75.7969927169
354,75.8188180255
355,75.8287110684
356,75.8287110684
357,75.872772245
358,75.8893101868
359,75.8893101868
360,75.8929561432
361,75.917688326
362,75.9860207059
363,75.9874101636
364,75.9874101636
365,76.0193629546
