Time(Iteration),CABDiff,CAB
0,7.57617213813,7.57617213813
1,13.9263624536,13.9263624536
2,19.9861496274,19.9861496274
3,23.9972107533,23.9972107533
4,28.6153073286,28.6153073286
5,31.9034017421,31.9034017421
6,34.8975352386,34.8975352386
7,37.3542048851,37.3542048851
8,39.7034164912,39.7034164912
9,41.6482057591,41.6482057591
10,44.6070773899,44.6070773899
11,46.1165872183,46.1165872183
12,47.8278007282,47.8278007282
13,49.2669672647,49.2669672647
14,49.7982067691,49.7982067691
15,50.8950291215,50.8950291215
16,52.0694939685,52.0694939685
17,53.5020203186,53.5020203186
18,53.9985790802,53.9985790802
19,54.5556732309,54.5556732309
20,55.3293825151,55.3293825151
21,55.9191699217,55.9191699217
22,56.0829327912,56.0829327912
23,56.44170081,56.44170081
24,57.1398078938,57.1398078938
25,57.6566867878,57.6566867878
26,58.2987026695,58.2987026695
27,58.8622586848,58.8622586848
28,59.1716527914,59.1716527914
29,59.441285592,59.441285592
30,59.6052076846,59.6052076846
31,59.9916080287,59.9916080287
32,60.4046059375,60.4046059375
33,60.5965756193,60.5965756193
34,60.6965784448,60.6965784448
35,60.9624609346,60.9624609346
36,61.2136379894,61.2136379894
37,61.7715277732,61.7715277732
38,62.0028605916,62.0028605916
39,62.3666650453,62.3666650453
40,62.5424241661,62.5424241661
41,62.7135052717,62.7135052717
42,62.9601886691,62.9601886691
43,63.0717845273,63.0717845273
44,63.1269250757,63.1269250757
45,63.5590726689,63.5590726689
46,63.7809870513,63.7809870513
47,63.8945775656,63.8945775656
48,64.246752831,64.246752831
49,64.4966341467,64.4966341467
50,64.9794207239,64.9794207239
51,65.2431832727,65.2431832727
52,65.3157901676,65.3157901676
53,65.5120174472,65.5120174472
54,65.5898481403,65.5898481403
55,65.7555287327,65.7555287327
56,65.8554989277,65.8554989277
57,66.1508644995,66.1508644995
58,66.2811908808,66.2811908808
59,67.1239494891,67.1239494891
60,67.2169447489,67.2169447489
61,67.4508036668,67.4508036668
62,67.8777448346,67.8777448346
63,67.8948969504,67.8948969504
64,67.9898711587,67.9898711587
65,68.0776027536,68.0776027536
66,68.2463317798,68.2463317798
67,68.4052695006,68.4052695006
68,68.4314487934,68.4314487934
69,68.6320196395,68.6320196395
70,68.6879357854,68.6879357854
71,68.7896523579,68.7896523579
72,68.8834531106,68.8834531106
73,68.9555347984,68.9555347984
74,69.1342089154,69.1342089154
75,69.1482184694,69.1482184694
76,69.1809985429,69.1809985429
77,69.4136865367,69.4136865367
78,69.461706711,69.461706711
79,69.6390199275,69.6390199275
80,69.6769742801,69.6769742801
81,69.7220245513,69.7220245513
82,69.8521839949,69.8521839949
83,69.8732124965,69.8732124965
84,69.978994794,69.978994794
85,69.9940199618,69.9940199618
86,70.0193279741,70.0193279741
87,70.1767549675,70.1767549675
88,70.3901098692,70.3901098692
89,70.4170887488,70.4170887488
90,70.5502994661,70.5502994661
91,70.7306259508,70.7306259508
92,70.8104903435,70.8104903435
93,70.8726613693,70.8726613693
94,70.9069763795,70.9069763795
95,70.9527280355,70.9527280355
96,71.0095256356,71.0095256356
97,71.0293906439,71.0293906439
98,71.0293906439,71.0293906439
99,71.1183750449,71.1183750449
100,71.126147615,71.126147615
101,71.2453927643,71.2453927643
102,71.3161900711,71.3161900711
103,71.3348152723,71.3348152723
104,71.5050477209,71.5050477209
105,71.5813924483,71.5813924483
106,71.6625238148,71.6625238148
107,71.7057451837,71.7057451837
108,71.711114296,71.711114296
109,71.7851360263,71.7851360263
110,71.8524556573,71.8524556573
111,71.8950758276,71.8950758276
112,71.903087915,71.903087915
113,71.9165692073,71.9165692073
114,71.9165692073,71.9165692073
115,71.9165692073,71.9165692073
116,71.9659481758,71.9659481758
117,72.244682063,72.244682063
118,72.2922610689,72.2922610689
119,72.2922610689,72.2922610689
120,72.3088363306,72.3088363306
121,72.389056644,72.389056644
122,72.389056644,72.389056644
123,72.3952729027,72.3952729027
124,72.4002798416,72.4002798416
125,72.4722757242,72.4722757242
126,72.559184693,72.559184693
127,72.7331195953,72.7331195953
128,72.8026077497,72.8026077497
129,73.0742841093,73.0742841093
130,73.0922514569,73.0922514569
131,73.0976566914,73.0976566914
132,73.1290088656,73.1290088656
133,73.1555105518,73.1555105518
134,73.1820798005,73.1820798005
135,73.2161443461,73.2161443461
136,73.2218242131,73.2218242131
137,73.2218242131,73.2218242131
138,73.2397581369,73.2397581369
139,73.2523664104,73.2523664104
140,73.3359793905,73.3359793905
141,73.3818149718,73.3818149718
142,73.4307715468,73.4307715468
143,73.5502207056,73.5502207056
144,73.5767397899,73.5767397899
145,73.6054616262,73.6054616262
146,73.6223397699,73.6223397699
147,73.6620530056,73.6620530056
148,73.6978928789,73.6978928789
149,73.6978928789,73.6978928789
150,73.7027055659,73.7027055659
151,73.708750625,73.708750625
152,73.7514065898,73.7514065898
153,73.7825554196,73.7825554196
154,73.8033911578,73.8033911578
155,73.8945225488,73.8945225488
156,73.915941717,73.915941717
157,73.9165186094,73.9165186094
158,73.9166039659,73.9166039659
159,73.9166039659,73.9166039659
160,73.953743413,73.953743413
161,73.9815416951,73.9815416951
162,73.9815416951,73.9815416951
163,74.1043296,74.1043296
164,74.1420959562,74.1420959562
165,74.1443168357,74.1443168357
166,74.1560028544,74.1560028544
167,74.1780138144,74.1780138144
168,74.1903013034,74.1903013034
169,74.207242719,74.207242719
170,74.2117619309,74.2117619309
171,74.2694816254,74.2694816254
172,74.2763822019,74.2763822019
173,74.2841440777,74.2841440777
174,74.2976286676,74.2976286676
175,74.3000627918,74.3000627918
176,74.3057003589,74.3057003589
177,74.3521077676,74.3521077676
178,74.3525320734,74.3525320734
179,74.3677093293,74.3677093293
180,74.3677093293,74.3677093293
181,74.3677093293,74.3677093293
182,74.404945429,74.404945429
183,74.404945429,74.404945429
184,74.4053359101,74.4053359101
185,74.4557946714,74.4557946714
186,74.4557946714,74.4557946714
187,74.462586631,74.462586631
188,74.5138592521,74.5138592521
189,74.6007150538,74.6007150538
190,74.6007150538,74.6007150538
191,74.6656130244,74.6656130244
192,74.688343546,74.688343546
193,74.7238209979,74.7238209979
194,74.7329913772,74.7329913772
195,74.7748841981,74.7748841981
196,74.7872613532,74.7872613532
197,74.7884832741,74.7884832741
198,74.9400413935,74.9400413935
199,74.9400413935,74.9400413935
