Time(Iteration),CAB,CAB_original
0,7.07613140477,5.55944726876
1,13.9551621706,10.3150973671
2,17.8336322423,14.7938193551
3,20.8771880397,17.2131953386
4,23.8589378708,20.0510247731
5,26.9797537204,23.3248698568
6,30.6957452356,25.5952370296
7,33.5214613693,27.8419451372
8,35.3228465353,28.9569950051
9,37.243326604,30.5589199459
10,39.146169676,31.8926081723
11,40.2425683642,32.8280361609
12,41.1530884265,33.7129435638
13,42.1133860889,34.3864645934
14,43.2301761581,35.8029050204
15,43.9104541328,36.6334391567
16,44.878284603,37.5245494158
17,46.3688075303,38.9773036079
18,46.6780254485,39.4981574171
19,46.9989767731,40.1368356303
20,47.8276357498,41.1071678699
21,48.0818107125,42.0496410728
22,48.435210999,42.5047077972
23,49.0785195504,43.0951973304
24,49.6691211078,43.9042177612
25,50.0048009181,44.3809993481
26,50.5220903991,44.964877805
27,50.9906748372,45.4006446292
28,51.4100615386,45.794697502
29,51.5336085915,46.0990067374
