Time(Iteration),CAB,CAB_original,LinUCB
0,6.86827945077,9.03720004724,8.52744231533
1,11.771043279,14.655347383,14.3935075706
2,17.214216325,18.555589378,18.4179642292
3,22.6142202344,22.0180233751,21.6703474794
4,29.248345223,25.417950327,25.5091034286
5,35.6011926162,27.9645073174,28.0928515298
6,41.0484706527,29.6134079224,31.1474562109
7,47.0267825385,30.8686382894,33.0147017583
8,51.9608046911,32.4278287716,34.8227395335
9,56.440672357,33.977207598,36.4731056324
10,62.0510339415,35.4327479024,37.4844859145
11,67.2006489665,36.2500386891,38.5133089531
12,70.7320816831,37.3737704425,39.5158316821
13,76.0607457638,38.3785987809,40.373410696
14,80.7554544837,38.6888617791,40.8680569697
15,85.2813164215,39.694056108,42.2892902863
16,88.9953666725,40.2825401688,43.2711269551
17,93.7039306541,41.0675161146,43.8571697922
18,98.2286717107,41.6717978198,44.3593527648
19,102.470533591,42.7821424851,45.2772289215
20,108.451756796,43.1820386254,45.9687546087
21,112.507198512,43.6773728111,46.2461164862
22,116.576901179,44.0928638325,46.6527089328
23,121.811820069,44.786765578,47.0599949428
24,126.244374704,45.3736462268,47.4768959677
25,131.296907952,46.1982276051,47.8692785315
26,136.840400208,46.4989226803,47.9826332515
27,141.454331185,47.0000926923,48.3491680644
28,145.759880614,47.5260022477,48.9386285183
29,151.041363712,47.8221201035,49.1886844383
30,155.175077714,48.1230563504,49.515633849
31,159.279628517,48.4939074405,49.8385539351
32,164.224171978,48.5972082033,50.2471254647
