Time(Iteration),LinUCB_new,LinUCB
0,6.8062335051,6.78443277843
1,15.333389782,15.3821318603
2,24.6261302826,24.5658633687
3,32.1330883811,32.2546282813
4,40.4480194572,40.4682678023
5,47.8287995355,47.6709129194
6,51.5032676295,51.4833551383
7,55.7235201163,55.2540162353
8,60.0840215393,59.1936626032
9,65.3738930508,63.7448419615
10,68.7101955875,67.9743952918
11,71.5345142305,70.4882109656
12,74.312413868,73.5377733832
13,76.5129919741,75.4385779805
14,78.7177030671,77.8093893655
15,80.1527727232,79.3550225528
16,81.1297959641,80.367726313
17,82.6765907877,81.7784263415
18,84.1056673271,83.3692883636
19,85.5787970616,84.7340027915
20,86.9883989657,85.8615734437
21,88.0939992677,86.9077465515
22,88.5934950111,87.4483843743
23,89.7324982099,88.4037376948
24,90.8827416494,89.4760092074
25,91.5471048393,90.2222713143
26,92.5270147206,91.3897698537
27,93.078005113,91.8719011497
28,93.968867917,92.9262078856
29,94.1967726531,93.2480953328
30,94.6352559997,93.6865786795
31,95.3368545724,94.5725173207
32,95.9229608661,95.2700488862
33,96.2854448552,95.8100565385
34,96.7321522554,96.4184086761
35,96.9612520884,97.1006724718
36,97.7880340838,98.0185452713
37,98.3265026961,98.633513131
38,98.5042819515,99.4252247636
39,99.2220466435,100.15325134
40,99.440242956,100.609259025
41,99.6505964649,101.105949017
42,99.9169887498,101.678231009
43,100.077321649,101.84418247
44,100.610566959,102.774207097
45,100.77772478,103.42860375
46,100.961260145,103.666231321
47,101.295614999,103.789046298
48,101.607865482,104.318767794
49,101.690243909,104.444333066
50,101.974764198,104.793811819
51,102.244915975,105.221873359
52,102.501680348,105.590717898
53,102.733342089,105.910135863
54,102.781276055,106.041859583
55,103.007078956,106.354881476
56,103.137181299,106.46349992
57,103.367454926,106.581741418
58,103.498805613,106.710998881
59,103.817324755,106.98932678
60,103.981485353,107.543357278
61,104.108964859,107.713244938
62,104.52462021,108.084631784
63,104.681906511,108.241918084
64,104.716210887,108.272111081
65,105.057866235,108.575769743
66,105.351459328,108.623578197
67,105.576082387,109.004462326
68,105.779244407,109.185818908
69,105.918620719,109.503267618
70,106.415935622,109.98330706
71,106.556378773,110.143004152
72,106.67712845,110.354397609
73,106.843010192,110.677748907
74,106.975614443,110.846930276
75,107.188017673,111.034970568
76,107.419413673,111.236846
77,107.534102057,111.351534384
78,107.566962775,111.490942338
79,107.569120048,111.651990215
80,107.858337814,112.116482599
81,107.892167494,112.187024396
82,108.152753247,112.607737916
83,108.294947086,112.713625846
84,108.294947086,112.743733872
85,108.45100722,112.896353718
86,108.927046886,113.313647899
87,109.033581425,113.435013473
88,109.257058375,113.658490423
89,109.282225735,113.668892659
90,109.457692266,113.84435919
91,109.537667778,113.945079249
92,109.705057807,114.175035827
93,109.886842766,114.303172076
94,110.109972097,114.58837263
95,110.19398503,114.822138589
96,110.247378755,114.854157036
97,110.3313879,114.938166181
98,110.602920172,115.209698453
99,110.751013065,115.493796066
100,110.790516652,115.500043204
101,110.85756507,115.58577901
102,110.873890243,115.602104183
103,110.982898563,115.736909081
104,111.321011264,116.111616298
105,111.379310004,116.192188382
106,111.424121396,116.192938868
107,111.534037367,116.352017525
108,111.602855033,116.420835191
