Time(Iteration),CAB,CAB_nodecide,CAB_noupdate,CAB_original,LinUCB
0,4.78070287002,7.92329995983,4.72025901024,6.98481281282,8.44681363425
1,7.77917785305,16.1540193089,7.99256159722,12.647034632,14.7492585807
2,8.9940821538,21.3630345971,11.5167711913,17.9524987375,20.6061086983
3,9.61508896688,27.8875149551,14.3017989463,22.2707065237,23.8512740274
4,9.933901264,35.1160505486,16.4938009853,25.2244302688,26.9476127284
5,10.2412438888,40.6636916447,18.2870584879,28.1487908002,29.7347572686
6,10.3327316034,46.0546351709,20.0121528058,31.0923016258,31.8699664119
7,10.8431656013,54.3316026689,21.5194231668,34.2032189933,33.5302085284
8,11.0410104782,59.9947022584,23.4085361464,36.0673478448,35.3227969893
9,11.346202498,65.2695867993,24.4915511343,38.1123105781,36.5506930557
10,11.6014010239,71.0254348514,26.4610214352,39.9305186434,38.0734862664
11,11.7719763408,78.0747051196,27.2233872935,41.7278396316,40.0649782375
12,11.9374169362,83.3882605471,28.3952977897,43.2812917191,41.515685667
13,12.1126182057,89.7853619353,30.026025911,44.8648974169,42.9274660048
14,12.1220636294,98.4225055404,31.3723944637,46.102278799,44.2482445138
15,12.2032214114,105.743547925,32.5910000048,47.6426355776,45.7434542959
16,12.2477636397,112.099561524,32.8852633647,48.3826895521,46.5764331467
17,12.2854009025,119.434642464,33.6659690091,49.3912495623,47.5618465769
18,12.384556826,125.348550023,34.4074313269,50.1013059786,48.0262917515
19,12.384556826,132.559640896,35.0672356425,51.5303991334,48.6002043197
20,12.3944801314,140.727581032,35.7948281613,52.2424657068,49.0674821693
21,12.4458798708,146.806209291,36.4032043408,52.9284646375,49.717051178
