Time(Iteration),CAB_full,CAB_cbj,CAB_original,CAB_cbij,LinUCB
0,7.42045378471,7.42045378471,7.12325143919,7.42045378471,7.03407466183
1,12.4012181205,11.8969478879,12.3184092735,12.0435644722,11.930068498
2,16.4153999113,15.2331938048,16.3866692267,15.0723353519,15.413268456
3,21.3602906667,18.4364367046,20.7365470555,18.8404122017,19.470661552
4,23.4451074344,20.2976215888,23.485363748,21.0677588454,22.4934056255
5,26.0968032423,22.4538888258,26.4526318545,23.1611520661,25.5081639117
6,27.9404211495,23.8132768837,28.5988087981,24.4379958803,27.0966163068
7,30.7222657947,25.7382475958,30.8158024154,27.1036351671,29.1697110628
8,32.4150941234,27.9166612524,32.8380940003,28.416202722,30.7033475301
9,33.9692773309,29.4744235553,35.2761569815,30.8429880927,32.7842673455
10,35.8770978484,30.8474143626,36.4015330618,32.7584103986,33.4472102311
11,36.8777475434,32.0118392387,37.6047483429,34.2353952238,34.6053629035
12,37.4655668114,33.0207035153,38.8991986691,35.3673824098,35.9109036623
13,38.5013246255,33.8664664682,40.2518353758,36.4033634513,37.1506260563
14,39.65640987,34.3591664067,40.9835919662,36.8559660866,37.65162062
15,40.247864669,35.4104611849,41.4969702599,37.861459555,38.3166614857
16,40.5265304029,36.0494067143,42.2114317269,38.8163855393,38.7098135676
17,41.5427688594,36.9487079248,42.8088821534,39.8174894236,39.7187451751
18,42.4354259943,37.8230716499,43.5285715876,40.2142013271,40.6267858684
19,43.1752114726,38.2757252828,44.2153526818,40.9860926722,41.3261503014
20,44.265599839,38.8803147652,44.7135058562,41.9164352819,41.5502451646
21,44.8448871036,39.5603167783,45.1135383109,42.2685237935,41.9971125945
22,44.9940904725,40.1044374047,45.4562176517,42.5304977296,42.1381172673
23,45.4356584284,40.4239068359,45.6688709903,42.8433955754,42.5016879199
24,46.0427962875,41.1059569218,45.976234838,43.3066529139,42.997607009
25,46.3019318677,41.1889690958,46.0973816618,43.4728690727,43.190009215
26,46.7453723671,41.7527847988,46.5311853856,43.7463938273,43.5150614029
27,47.4475729616,42.0884546606,46.7116192312,44.4267915202,43.7932922252
28,48.1618536607,42.7577737972,47.3473584766,45.1652876092,44.6138873778
29,48.3921698229,43.0992968487,47.757716266,45.6474559748,44.9523308863
30,49.0887080127,43.8132597344,48.1562282919,46.3931052831,45.1717013952
31,49.8262602335,44.1093044142,48.6368069483,46.8204657399,45.4727243647
32,49.9151608467,44.3077962276,48.7456584772,46.8957595408,45.6634184775
33,50.4663503859,44.5756172303,49.0216862987,47.3411982422,45.8188514092
34,50.9864898891,45.1055678568,49.367395937,47.7098104657,46.349329413
35,51.2332881632,45.3032472858,49.6780578918,48.026130051,46.5541026717
36,51.654888871,45.8897803162,49.8646292974,48.5383491855,46.6925022337
37,51.9812085402,46.2156742079,50.1000142774,49.0204382717,47.0848874456
38,52.253412951,46.4831029988,50.3627089049,49.2518434728,47.4161917414
39,52.4039309422,46.5599154215,50.4691181482,49.4031411204,47.5264346652
40,52.5861184157,46.7412565662,50.7547778408,49.6758263762,47.7146699422
41,52.7329390124,46.936073008,50.8485144808,49.8906387454,48.0007629947
42,52.9469038564,47.0004187742,50.8875896609,50.0833994341,48.0507714096
43,53.0741414974,47.0847569642,50.9719278509,50.1937179558,48.1114911859
44,53.3163152239,47.2999199793,51.1183563314,50.3179947632,48.3634722909
45,53.4046832264,47.4560176492,51.2108715905,50.4105100223,48.4221908596
46,53.6148327943,47.6663337136,51.5248420768,50.6152630615,48.4532672532
47,53.7602045608,47.7821426674,51.6759912263,51.0303135101,48.6149043229
48,54.1614560073,48.0535426628,51.8146363763,51.3244981969,48.9384328728
49,54.4186179626,48.3107046181,52.0225436441,51.4903683079,49.1265410423
50,54.5740173121,48.4762424065,52.1665477489,51.6559060963,49.270545147
51,54.8753584538,48.7082412267,52.3829448985,52.0281603138,49.3702128758
52,54.974344743,48.807227516,52.4602681334,52.0447113778,49.4756024898
53,55.106031005,48.9702468785,52.5352093173,52.1464069418,49.5748879191
54,55.1960596727,49.1410057027,52.5823778269,52.3616589158,49.6287598757
55,55.4055135835,49.3131509501,52.8508335606,52.5780531178,49.8208056095
56,55.6177687364,49.4562605984,53.004252689,52.6597719991,49.9192054518
57,55.7979264661,49.5858987031,53.1558578271,52.719999471,50.0708105899
58,55.9357271279,49.7315806654,53.3128494535,52.8785741055,50.160594023
59,56.0452859705,49.8554186267,53.4177568679,52.9402028991,50.3224989943
60,56.1225188812,49.9910728331,53.5396200499,53.1204873768,50.4443621763
61,56.3145610687,50.0754535973,53.6278087877,53.2013436339,50.4767252986
62,56.3715850104,50.1019533911,53.6624112763,53.3402680981,50.4990305339
63,56.4564404834,50.1728543438,53.8463514969,53.5149400956,50.6838006433
64,56.7497613307,50.3477113741,53.8624143055,53.9295556651,50.8178037302
