Time(Iteration),CAB_noupdate,CAB_original,LinUCB
0,7.00974574445,8.19854445288,6.58460586753
1,13.371989185,15.8798278808,12.9914028122
2,17.759847605,20.5604179535,17.6157757602
3,22.4243031878,24.1667012169,21.6292622909
4,25.1025072158,28.2179715346,23.9522431525
5,27.719913001,31.5596809518,26.9489084437
6,31.9394943791,34.2115130391,30.9383279722
7,34.8825091836,37.1623486246,33.789940046
8,37.5208675532,39.4387843791,36.1046844315
9,39.6921013982,41.097383663,38.3806341626
10,42.0882932697,44.1283092405,41.7574342936
11,44.3256667203,46.3595753026,44.3449334507
12,46.0514541586,48.6055013325,45.8233461285
13,47.9897216992,51.0520941652,48.369685761
14,49.9948856753,53.0448485817,50.6917359315
15,51.105748106,54.4394043346,52.4754971669
16,52.2227308313,56.3371790815,53.377829418
17,54.4814708517,57.8941780882,55.1750334076
18,56.1263883212,59.4506436862,57.4498777149
19,58.6436326348,61.3980037183,60.0734299911
20,59.5130433877,62.5745105917,61.2561711268
21,60.8731820445,63.3984729732,62.5941671778
22,62.4906224354,64.4398060439,64.1316722134
23,64.2374745925,65.9826384937,66.0906639155
24,65.2025428097,67.2069957126,66.7279769518
25,66.3926817303,68.632044458,68.2533829957
26,67.2752705613,70.7495202698,68.9973822788
27,67.7828893737,71.8936870668,69.4760484236
28,68.5140704166,72.6546115212,70.2350571768
29,69.3894288542,73.8503189015,71.4588200925
30,69.7493016416,74.5886677074,71.8884174237
31,70.772615191,75.1834709222,73.4698098446
32,72.2471667995,76.5014638684,74.7063328394
33,72.8209591016,77.2223403361,75.4480054026
34,73.7732500211,78.1570104755,76.1227526598
35,74.3713479441,78.7143274382,76.3573063372
36,75.2406363875,79.7389045075,77.238248615
37,76.0187762973,81.1988290453,78.3018314759
38,77.0930221565,82.5073906467,79.2277110298
39,77.5957586892,83.666395948,79.8146685256
40,78.4200179844,84.3029509819,80.7123392959
41,79.2647737984,84.8323414408,81.5323096163
42,80.42530853,85.7865770353,82.8029714199
43,81.2318030899,86.3231664059,83.7475239908
44,82.2050767309,87.1364149925,84.4559754451
45,82.7835318708,88.3002120407,85.064237114
46,83.1892603354,88.3635068634,85.4581997622
47,83.9552368401,88.7568369996,85.9099771388
48,84.6475269762,89.7057498887,86.8216096471
49,85.0678100345,89.9768577332,87.0593538142
50,85.0725114772,90.3737737116,87.7966372714
51,85.2720345134,90.7894905718,88.6748513192
52,85.3475314449,91.6678678394,89.2228783135
53,85.5594637534,92.413252834,89.5282052379
54,85.6172352734,93.3318898072,90.1635770973
55,85.6966929055,94.0426435878,90.5347671833
56,85.9372214992,95.004402111,91.3165466513
57,86.0466446993,95.5871927531,92.12635871
58,86.1381647733,96.0114389061,92.5663249865
59,86.2382508715,96.5316618454,92.9681123166
60,86.278160109,96.7711705841,93.7793600775
61,86.3380472579,97.6418439242,94.5868805795
62,86.4582739734,98.0689330093,94.7314639625
63,86.5098825313,98.8929862488,95.2847310981
64,86.576074053,99.2556118129,95.7926129781
65,86.6122255228,99.7977105487,96.3928798597
66,86.6949744216,100.229897921,97.2271600346
67,86.789656556,100.922843149,97.8167860123
68,86.8539230182,101.291352843,98.0605300194
69,86.9454324088,101.692151934,98.7558731157
70,86.9769351152,101.825816803,99.073204124
71,87.0626047377,102.618493483,99.4224567879
72,87.141721052,103.221236462,99.7792417313
73,87.2323141746,103.668077578,100.098897828
74,87.3486772883,104.089664628,100.626291596
75,87.4697263181,104.645706586,101.129434734
76,87.5560556947,105.001697635,101.404715314
77,87.6145478512,105.715120443,102.100648628
78,87.6720902273,106.158025866,102.587083808
79,87.781917891,106.502130372,102.693592187
80,87.8502112717,106.861564411,102.943645993
81,87.9135538638,107.522770422,103.571007388
82,87.9468818716,107.748807063,104.099890195
83,87.9883772609,108.029385914,104.473777102
84,88.0269460298,108.396162882,104.806064748
85,88.0455219973,108.645946608,104.863325193
86,88.2289948163,108.880071194,105.473138458
87,88.2506878791,109.677294636,105.920240387
88,88.3514410482,110.088589479,106.361473815
89,88.3679089324,110.564644083,107.008306217
90,88.5107711353,110.757167846,107.172448976
91,88.5721401705,110.91017339,107.436605508
92,88.5953313283,111.112674382,107.780927768
93,88.730852887,111.475581851,108.149630534
