Time(Iteration),CAB_idealNew,CAB_original,CAB_optimal,LinUCB
0,7.96887796079,6.71789113088,7.96887796079,7.91443044214
1,12.8938091427,12.2547720297,11.2407154519,12.7722085561
2,17.4841908858,18.518604967,14.8626376076,16.8904570288
3,22.8694214591,24.5793041959,17.5809115017,21.516354832
4,27.7425788576,29.7433842754,19.8052829736,25.341592068
5,32.0126121377,35.0024339938,22.6281682097,29.0817860862
6,35.4701303962,38.9777533554,25.0923140744,32.0963276873
7,39.1135434864,44.7420496856,26.6602924743,35.170829037
8,43.1034874832,52.2264477693,28.9128801281,37.8793406622
9,47.1591256837,58.1394817489,31.467037961,40.4564427211
10,50.4172344192,64.1516380677,33.2393270484,42.7817872023
11,53.116118602,68.9518790247,35.2985741362,45.7565686049
12,56.1302931405,73.5357699565,36.9250319274,48.6848937153
13,58.0054359953,78.8060522165,38.4641875714,50.7215170361
14,60.6835875966,83.8051738852,39.8506796509,52.2027826927
15,63.7012474057,87.3835080997,40.7965948043,53.8738650309
16,67.0413215479,92.6120310511,42.0899789625,56.0076397712
17,70.1796062013,97.1087394652,44.983235531,58.3638878323
18,73.2782167415,101.067619075,46.1690363321,59.9289670903
19,75.4677901575,106.234584806,46.8597230055,61.7996735271
20,77.9263120374,110.699867765,48.0832387902,63.9424205214
21,80.2932628157,116.520971509,49.0720104609,65.4869596315
22,82.6302070677,120.433799139,50.1383732504,66.9093262111
23,84.7438391352,124.354911579,51.335931884,68.1755324476
24,86.8342635577,129.235439957,51.9564915555,69.8721900154
25,87.6351492731,132.547322726,52.5654237412,71.4954350981
26,88.695641141,137.287225812,53.2735598195,72.3607293979
27,90.6369158169,141.396945921,53.9104459051,73.5045056878
28,92.3741322434,145.839261981,54.8792096409,74.6370200386
29,93.6972501132,150.241880066,55.6138637774,76.0615275032
30,94.8931020704,152.294627312,56.093904892,76.6524886692
31,96.1657073936,156.545006276,56.5841514615,78.628800832
32,97.9034108946,160.749355473,57.5721313202,79.6049807342
33,100.505883018,165.337640162,57.930110189,80.6617015644
34,101.657390131,169.593660915,58.5918115672,81.3686510522
35,103.163250687,172.178576105,59.9217431906,82.4671771306
36,103.787101747,174.709993186,60.3879889311,83.4570148418
37,104.998697819,178.564821661,61.3675296849,84.0297344977
38,106.202783749,181.903704168,62.331210297,84.9372229758
39,106.825522455,184.43940729,62.916825506,85.5660067981
40,108.172810461,186.819665508,63.7170335318,86.7264185382
41,108.877351536,189.788166371,64.1491472982,87.361132995
42,110.049352241,193.090724498,64.7397490727,88.5956634916
43,111.405635752,195.79288765,65.1301336058,89.9575308425
44,112.318238932,199.483751475,65.6869578929,90.5736890222
45,113.268265827,202.980612071,66.2195488877,91.2155343395
46,114.878225843,205.954109967,66.9295435257,92.032388827
47,115.495458187,208.932230571,67.2190840571,92.4757355294
48,116.274864389,212.626585661,67.7762922763,93.3255653153
