Time(Iteration),CAB_decrease,CAB_original,CAB_increase,CAB_optimal,LinUCB
0,3.57512287626,6.31717802844,3.57512287626,3.57512287626,3.57512287626
1,6.4488528066,11.1150019449,8.78668213857,6.4488528066,8.78668213857
2,8.49686249032,15.278932947,13.3110721139,8.49686249032,13.3110721139
3,9.83100173068,18.9099567499,17.173284031,9.83100173068,17.173284031
4,11.0988279269,22.2569643623,19.5871305763,11.0988279269,19.6759556792
5,12.253266278,25.6339224983,23.8689803486,12.253266278,23.8326065762
6,13.2151189602,27.4090485988,26.34086063,13.2151189602,26.384275189
7,14.1879631933,30.3731513336,29.286830718,14.1879631933,29.0501705673
8,15.7858497438,32.5419568779,30.5393138786,15.7858497438,30.2381744136
9,16.9068160987,34.5138693745,32.7212802888,16.9068160987,32.4201408238
10,17.910822911,35.7576021454,34.6008365527,17.910822911,34.4370867627
11,18.9337076501,37.294095137,35.9513628934,18.9337076501,35.588569146
12,19.6757744861,38.9440557638,37.5119817818,19.6757744861,37.1491880345
13,20.4524941433,40.657517658,39.2052643459,20.4524941433,38.4261877983
14,21.1169621484,42.7081009292,40.1755243145,21.1169621484,39.3711181103
15,21.7067545459,44.3238431944,41.2319663484,21.7067545459,40.6204350899
16,22.0609269927,46.5269403176,41.9554527878,22.0609269927,41.4028301479
17,22.5833479451,47.6865869079,43.1276819607,22.5833479451,42.6059093551
18,23.5740483644,48.6830951553,43.9201508325,23.5740483644,43.3983782269
19,24.1288086869,49.6087538661,44.7177588957,24.1288086869,44.4021105406
20,24.9251952034,51.1906982183,46.3567227317,24.9251952034,46.1344521952
21,25.7860492132,52.2702903146,47.2729915954,25.7860492132,46.9985744767
22,25.9134866034,53.0584612182,47.9760546839,25.9134866034,47.4932884366
23,26.0806926267,53.5694498955,48.5165819717,26.0806926267,48.0338157243
24,26.677292088,54.358135787,49.3565376133,26.677292088,48.7867246902
25,27.1003299967,54.7409708145,49.9276314722,27.1003299967,49.357818549
26,27.7090306602,55.5245767505,50.5970719604,27.7090306602,49.7136598241
27,27.9488247066,56.5834960328,51.3904166526,27.9488247066,50.5860083944
28,28.2077259015,57.2942890737,52.0998432252,28.2077259015,51.4883175525
29,28.5022159208,57.9643405855,52.3595634915,28.5022159208,51.892511905
30,28.8435380699,58.4909102937,52.6711165324,28.8435380699,52.1239280874
31,29.0265318623,59.0493309845,53.0226290652,29.0265318623,52.4754406202
32,29.334829434,59.4644103901,53.5017878121,29.334829434,52.9392979166
33,29.5881370899,59.986078267,53.6924786672,29.5881370899,53.2731881768
34,29.7891269746,60.6908343311,53.8929271818,29.7891269746,53.5078363782
35,29.8421736826,60.7460943036,54.0446791777,29.8421736826,53.6453895294
36,30.2812368004,61.182439689,54.7401077199,30.2812368004,54.3950477922
37,30.5067190868,61.451112297,54.8555663972,30.5067190868,54.4979362839
38,30.7881172538,61.9040775499,55.1427703181,30.7881172538,54.8627349897
39,31.0685812175,62.0479595152,55.3488200721,31.0685812175,55.2043917317
40,31.3314217409,62.4271127476,55.5552586966,31.3314217409,55.4910924428
41,31.4281355989,62.6518969967,55.7926638949,31.4281355989,55.8674130022
42,31.7586691214,63.1072325049,56.1775319199,31.7586691214,56.153488081
43,31.7686953963,63.2278847311,56.2542642279,31.7686953963,56.2852949448
44,31.8819999814,63.6276071926,56.6404175638,31.8819999814,56.7018841344
45,31.9152583283,63.749092763,56.763678014,31.9152583283,56.7149976339
46,32.0883504308,63.9699137784,57.1996234473,32.0883504308,57.1213619976
47,32.2382508655,64.0828612497,57.3677933858,32.2382508655,57.2895319362
48,32.2808159963,64.4862412,57.4301795129,32.2808159963,57.3677482114
49,32.4407740819,64.5352720047,57.5959978741,32.4407740819,57.5071136429
50,32.520598902,64.6200349494,57.6608348832,32.5157585473,57.6401649406
51,32.6107905273,64.7789610865,57.6909497315,32.5960626404,57.8198850296
52,32.7009039564,64.905615054,57.7810631606,32.6707686642,57.8609702602
53,32.8443920244,65.1291859476,57.8741606839,32.7910441212,58.0412905178
54,32.9474376832,65.3471642407,57.911709397,32.8691879502,58.1194343468
55,33.2283159227,65.4918465366,57.9479651439,32.9758661759,58.1556900938
56,33.4151243008,65.5518515747,58.0857032505,33.1245798641,58.2369913776
57,33.7278430211,65.6934483158,58.2190825941,33.4372985844,58.3547726726
58,33.8349647668,65.8264871344,58.2921470057,33.5444203301,58.7289219175
59,33.8736508317,66.0385206319,58.4999026207,33.5963416278,58.919490855
60,33.9526824085,66.1398437709,58.571284218,33.6659448513,59.0437042375
61,33.9588284644,66.1470294964,58.6260318344,33.6720909072,59.1300991205
62,34.1417349495,66.3160247147,58.7222563276,33.8549973923,59.2041813788
63,34.3182398361,66.4959356246,58.7222563276,33.9737423427,59.3312905884
64,34.4181491723,66.6430006943,58.7708036771,34.0736516788,59.5263879839
