Time(Iteration),CAB_original,CAB_decrease,CAB_optimal,LinUCB
0,5.53251611569,7.59803634597,7.59803634597,7.58729675954
1,10.3202165663,10.3460565912,10.3460565912,12.3650051768
2,13.8456167681,13.173154417,13.173154417,16.0865090265
3,16.8180212128,14.7848487515,14.7848487515,18.7536091228
4,20.2490537491,16.3530579768,16.3530579768,21.6620134468
5,22.8049415644,17.2624545934,17.2624545934,23.2755733507
6,24.6732535874,18.445799273,18.445799273,24.3754072214
7,26.0436089451,19.1995126495,19.1995126495,25.4715256041
8,27.9032664617,20.2296933219,20.2296933219,27.3980406003
9,29.2883671074,20.9232132164,20.9232132164,28.845032086
10,30.9071714338,22.1657297562,22.1657297562,29.6852571652
11,31.6042637213,23.3371379485,23.3371379485,30.6246807483
12,32.8385937971,24.6896395027,24.6896395027,32.1086758789
13,34.2929829732,25.4298371864,25.4298371864,32.9107955065
14,34.7104124528,25.8151214302,25.8151214302,33.4595696343
15,35.4414296657,26.5057614046,26.5057614046,34.5023905578
16,36.4883438881,27.1087737758,27.1087737758,35.686341766
17,37.1531455062,28.0032314722,28.0032314722,36.2094304423
18,37.6298670738,28.3269472121,28.3269472121,37.4818585993
19,38.7914323639,28.7925530993,28.7925530993,38.4339652786
20,39.2746390572,29.3592445744,29.3592445744,39.576097858
21,40.0212993752,29.9610438589,29.9610438589,40.2206577182
22,40.5054581001,30.4363753562,30.4363753562,40.7991435414
23,40.8811768325,30.6925161885,30.6925161885,41.0231146136
24,41.4240346167,31.2112971378,31.2112971378,41.4261069173
25,41.8750681663,31.5072932027,31.5072932027,42.2639962281
26,42.1162946782,31.6708092187,31.6708092187,42.7174925028
27,42.9305194356,32.0758600069,32.0758600069,43.2332276971
28,43.3737440571,32.5780306953,32.5780306953,43.9021296494
29,43.5941023621,32.7455871624,32.7455871624,44.1278031953
30,44.1866333481,33.1608815819,33.1608815819,44.5760469351
31,44.4965666305,33.4664825274,33.4664825274,44.8443959845
32,44.8027731708,33.7839592772,33.7839592772,45.2965362352
33,45.3677009493,34.0239956158,34.0239956158,45.7666787173
34,45.6942854909,34.1585975453,34.1585975453,46.2158110299
35,45.9920423177,34.1948459944,34.1948459944,46.4909260634
36,46.094742559,34.2646890743,34.2646890743,46.8225183324
37,46.2241681877,34.3725483934,34.3725483934,47.0965536233
38,46.5652513714,34.5401044058,34.5401044058,47.3784162387
39,46.6592579026,34.634501645,34.634501645,47.5803691148
40,47.1369903038,34.8413815471,34.8413815471,48.0305180737
41,47.5706466484,35.0251059415,35.0251059415,48.3595082278
42,47.6298857999,35.0577891166,35.0577891166,48.5576280107
43,48.034495559,35.1039462664,35.1039462664,48.8741708471
44,48.4366672196,35.2853060246,35.2853060246,49.1199841304
45,48.7012676231,35.4730231931,35.4730231931,49.3974398097
46,48.9971231474,35.7950536668,35.7950536668,49.4603609288
47,49.4487503275,35.9846607731,35.9846607731,49.7380637978
48,49.6458024535,36.127786196,36.127786196,49.9061959244
49,49.7727415473,36.2449310871,36.2449310871,50.3240318451
50,49.9342693793,36.378352358,36.378352358,50.530566002
51,50.3934844003,36.5224450405,36.5224450405,51.136644911
