Time(Iteration),CAB_true_increase,CAB_original,CAB_optimal,LinUCB
0,8.76890917618,8.27577299856,8.76890917618,8.46594986936
1,14.0349802485,14.4687251658,11.0251080894,13.7320209417
2,17.9287185207,20.0528234989,12.8950440223,17.9887756014
3,20.8513454902,23.8066230401,13.922211313,20.910464668
4,23.4400105307,28.020013449,15.7782188117,23.4991297085
5,25.0818356522,32.0827776051,17.5511243015,25.6267449359
6,27.65832184,34.9908815171,19.4213674954,27.9076080067
7,29.0566302029,37.1826502686,20.3049225357,29.6645468582
8,31.0570320571,39.5346041748,21.6579864033,31.7339767214
9,32.2846601644,41.3398503324,22.368817369,33.3970777039
10,33.2692948871,43.6752544731,23.5335584399,34.6378840032
11,33.8380213791,45.7349459911,24.6195345088,35.7156127512
12,34.1842560007,48.013168109,25.4177291859,37.3637100546
13,34.5918612937,49.4079844172,26.6297865264,38.6462200492
14,34.8803484601,50.9134034546,26.7788671472,39.5045431687
15,35.4415900005,51.9778714561,27.25435476,40.2698665022
16,35.8685272276,52.5879454438,27.4164133592,40.860822831
17,36.3243759362,54.0963080723,27.6996884989,41.6310891102
18,36.5119602094,54.6679015804,28.019760745,41.9284864009
19,37.1233745647,55.2539030917,28.219180514,42.7565733128
20,37.2023140857,55.3780047179,28.2946548261,43.2471373913
21,37.5554762591,55.6735975484,28.3786111531,44.03929562
22,37.7407944761,56.2563124742,28.5627022889,44.2029758394
23,37.9609412641,56.4411277055,28.9510086312,44.8000876226
24,38.2284083471,56.9878269856,29.4138393767,45.228938148
25,38.3739730054,57.299791569,29.682811119,45.5324581844
26,38.5259230996,57.5405604755,29.8508302824,45.7729781052
27,38.5259230996,57.8058949048,29.902403916,46.17318644
28,38.7216620544,57.8705886458,30.0096566258,46.2341185113
29,38.789270962,57.8843234471,30.0910003347,46.3154622202
30,38.9012524717,58.2954056337,30.1531023915,46.4276869785
31,39.1905954341,58.9110865877,30.450234304,46.8289410782
32,39.2800874292,59.1607968265,30.5900401167,47.0135659426
33,39.3600996729,59.2210730885,30.6790879738,47.1418161918
34,39.5010118088,59.3988012238,30.9135800756,47.4024479481
35,39.6339009262,59.5661792887,31.0074837753,47.5461844638
36,39.7568223793,59.6191320776,31.0604365642,47.577673507
37,39.875262583,59.7522294399,31.0925977445,47.8012583269
38,39.9986877887,60.0214027652,31.1992942827,47.9079548651
39,40.1484879607,60.2719562011,31.3198745644,48.0862842526
40,40.2666832322,60.3491350768,31.4582394493,48.1842100858
