Time(Iteration),CAB_original,CAB_true_decrease,CAB_optimal,LinUCB
0,6.17900980775,5.55903592576,5.55903592576,5.95613785769
1,11.0370966505,10.5425767627,7.45793501651,11.6908450924
2,14.1118190199,15.4560232263,9.63373003495,16.1069730428
3,16.6631857016,18.7981560311,11.6975423607,19.2945102238
4,20.4634256903,21.5055505306,13.371612171,22.0937213503
5,23.4935115953,24.1627298381,14.6083804081,24.8547561936
6,26.1936976018,26.7325964867,15.7024191435,27.976511
7,27.11409442,28.8742441498,16.7308973144,29.8609647867
8,29.2109518352,30.5098235517,18.1229427596,31.6079407396
9,30.9697111069,32.3820779614,18.8704916922,33.176083107
10,32.2701963873,33.9247330421,19.9296571224,34.6895417615
11,34.4165053945,34.8156940879,20.5362075555,36.9169111873
