Time(Iteration),CAB_true_increase,CAB_original,CAB_true_decrease,CAB_optimal,LinUCB
0,7.5157513952,7.00115749156,7.5157513952,7.5157513952,7.51829779942
1,12.3138394874,12.8768371392,9.79499995553,9.79499995553,13.3101330868
2,17.3965019998,19.2151793018,11.8070827674,11.8070827674,17.6227899285
3,21.294742098,23.4081970032,14.1486042308,14.1486042308,21.2584408429
4,24.9423287402,27.3467092135,16.1516910092,16.1516910092,25.202038422
5,28.3024596023,30.4324185244,17.4213635913,17.4213635913,28.7245426202
6,30.8034225993,31.5614264356,18.2128059726,18.2128059726,30.8937739572
7,31.8034566458,32.8063146032,18.9068900242,18.9068900242,32.1845087483
8,32.9215317317,34.1249054183,19.829670798,19.829670798,33.2128877132
9,34.9106275905,35.6265989982,20.6232359137,20.6232359137,34.7753893285
10,36.4460407034,36.4351547756,21.1135138093,21.1135138093,36.0370662687
11,36.7897700076,37.7300809026,21.737340414,21.7094666904,36.8440036657
12,37.3833742759,38.8987557764,22.3947903377,22.3669166142,37.6351864276
13,38.3036498462,40.0624579364,23.6184687773,23.3369761207,39.2462679328
14,39.073529051,41.2759281523,25.0624532374,24.6588637053,40.2128195001
15,39.3572628245,41.4259760282,25.5017180368,25.1521562115,40.6979056614
16,40.1613192243,41.9017350226,26.3932364581,25.932520279,41.4007363232
17,40.8137103405,42.6302602062,27.2902937573,26.9257284096,42.4710593624
18,41.569137962,43.6167362979,27.6889639823,27.3029650473,43.7731202029
19,41.9336946851,44.1346326863,27.9911627997,27.7670882224,44.2381341864
20,42.5663517508,44.9370437506,28.5665637083,28.4242546849,45.1764026249
21,42.7204605113,45.6017577903,28.7206724688,28.6245910968,45.5145308171
22,42.8005944341,46.1450905949,29.0931169621,29.1587497318,46.7729321152
23,43.3793387779,46.5129442701,29.5162483088,29.6342746361,47.3636293154
24,43.6967871944,47.0233467507,29.8196588728,29.9944554385,48.3732117358
25,43.8876039914,47.5207336235,29.951973197,30.1425058288,49.1018026926
26,44.0915468647,47.9648819793,30.2856491506,30.4903337387,50.051077902
27,44.4062159936,48.3582580499,30.7052776958,30.9183785051,50.9091562279
28,44.5431050767,48.7172178165,30.8768122879,31.1062923164,51.060154725
29,44.61149024,48.9746143998,31.058474613,31.2195694783,51.2711724068
30,44.8179063267,49.4099119748,31.3270529669,31.5667572146,51.576599753
31,45.0148768771,50.1310549354,31.6573528248,31.6557725286,51.9067565565
32,45.0701898495,50.2209809455,31.810762698,31.8708018921,52.1255927465
33,45.1725729677,50.3034077609,31.9570311852,32.0324317365,52.2489646403
34,45.5327041741,50.8284920868,32.3164611314,32.5016621266,53.0296163324
35,45.6486840281,51.1391479192,32.4324409853,32.6176419806,53.1455961864
36,45.8202235283,51.3266921789,32.7520471182,32.8554167596,53.4692225286
37,46.0111045984,51.5683744271,32.9669191501,33.1044151299,53.7938886408
38,46.1668892977,51.9213998291,33.1289052833,33.27588793,54.1263656422
39,46.4393280518,52.1668742656,33.301463067,33.4040121753,54.5049137335
40,46.5841387124,52.4107648681,33.949549451,33.6958837298,54.7619869756
41,46.6891167824,52.6549357055,34.2322709608,33.7707616202,54.7815764488
42,46.8750332684,52.997184159,34.6368914179,33.8544398588,55.0978974031
43,46.9873160379,53.1250190107,34.7738371343,33.9498096867,55.1977077818
44,47.0876821101,53.2593672083,35.1083024197,34.1403609401,55.3249262655
45,47.101445231,53.3600159713,35.2089511827,34.2404148735,55.3758906322
46,47.1461763853,53.5041468888,35.3849421077,34.270197219,55.5998510078
47,47.2411692549,53.635860198,35.4810370937,34.3500974241,55.7352276605
48,47.4776301923,53.7311487635,35.5650882155,34.399399658,55.7783633918
49,47.7687883863,54.1184005454,35.9307550319,34.6905578521,55.9476912772
