Time(Iteration),CAB_true_decrease
0,5.92611346219
1,10.2404995609
2,15.9229392602
3,20.2602559544
4,25.0643393235
5,29.3431168679
6,34.4827127155
7,38.193591535
8,42.2400395024
9,45.487130701
10,47.7457317057
11,51.7513768481
12,55.6217962313
13,59.0203760305
14,62.9990668732
15,67.8409935087
16,71.8731609693
17,74.4639408548
18,77.7770968585
19,81.7248198477
20,84.9405951521
21,88.6570787224
22,92.6470778521
23,95.5012944574
24,99.5850159484
25,103.464365165
26,106.447516648
27,109.739383504
28,113.039588921
29,117.124934253
30,119.672216975
31,122.893687761
32,126.718884384
33,130.119072487
34,134.077491053
35,137.874937562
36,140.07634188
37,143.246544287
38,146.607957503
39,148.675611783
40,152.04134254
41,154.999950969
42,159.426674051
43,162.806434792
44,165.931557307
45,169.668260754
46,172.724666608
47,176.309352069
48,179.409240318
49,183.413017208
50,185.776346956
51,188.780497487
52,191.740459751
53,195.172178545
54,198.153409465
