Time(Iteration),CAB_5_6
0,7.4603877849
1,11.2196242152
2,16.3734912847
3,20.1731129807
4,25.1043876158
5,30.7106691679
6,33.8738815971
7,38.7894320289
8,42.9302118084
9,45.0737088303
10,49.0645479121
11,52.3198467397
12,57.3204584828
13,61.0905888753
14,65.5393868643
15,68.4061472041
16,73.0533324803
17,76.0914629378
18,79.5162578992
19,82.0363258393
20,84.517733421
21,88.7194978289
22,91.118749768
23,94.561437094
24,97.4502184954
25,101.210248837
26,104.638669452
27,107.574354373
28,111.217540248
29,114.497748646
30,118.510321336
31,121.840429447
32,124.333533233
33,126.994133479
34,129.760925846
35,132.778077404
36,136.367758989
37,140.00737227
38,143.864908133
39,147.645448215
40,152.08702909
41,156.083766815
42,159.364126852
43,163.975782668
44,167.159093473
45,170.232876575
46,174.386851644
47,178.358930011
48,182.399657684
49,184.833415168
50,187.626708921
51,190.709238646
52,193.287065227
53,195.098997674
54,198.114433826
55,200.46568745
56,203.795981457
57,207.096310129
58,209.531024954
59,212.452427616
60,216.919338026
61,220.274160954
62,224.00547922
63,227.869528568
64,230.551343648
65,234.282811222
66,237.123376481
