Time(Iteration),CAB_2_3,CAB_original,CAB_optimal,CAB_5_6
0,7.15650590191,5.75120663243,7.15650590191,7.15650590191
1,11.5802684473,9.81560193461,8.37369978086,8.88452226386
2,15.3228217895,11.6924638903,9.6046336318,10.7958508942
3,17.7729991197,13.3719130866,10.428562346,12.0507468504
4,19.9396645231,16.5901139868,12.1256096956,15.5854984449
5,22.3183134301,18.5395254083,13.1764760969,18.0153868274
6,24.4357621056,20.4930089069,13.9106048039,19.6665279288
7,26.7635480969,22.6972831903,14.5813834035,21.6795133443
8,28.8209907317,23.8868102533,15.203689125,23.0777567707
9,30.3495617424,24.5859920584,15.4738232587,24.7755045268
10,32.4193193143,25.5403945834,16.1633263866,25.9527473406
11,34.0339559776,27.0600221421,16.6045970149,27.7901838763
12,36.4329905457,28.5327654195,17.431287606,30.0998833762
13,38.1382497518,29.43715914,17.8912969705,31.7214084401
14,39.562463822,30.1626922645,18.4255712434,33.7052139728
15,41.7167171439,30.6169232521,18.609200332,35.5314713669
16,43.5120070153,31.0725850371,18.9791883139,36.4452806375
17,45.9174938551,32.0990603833,19.4609502396,38.2244352028
18,48.5405687627,32.6312051049,19.7142223543,40.5464077575
19,50.4766474348,32.9084700158,20.0125210271,41.7050983015
20,53.2061935374,33.3613195125,20.1538193918,43.5731238101
21,54.9179642088,34.0010901551,20.7208834955,44.7426609242
22,57.3914914536,34.6409249403,21.145039294,46.5148871694
23,58.8353683726,35.2537984611,21.5704801789,47.6915933966
24,60.729561897,35.427833043,21.8156290968,49.4146186534
25,62.8220062808,35.9945455872,21.9799081561,51.009267492
26,64.2284983057,36.3187709705,22.0796510085,52.0849358639
27,65.5429742576,36.5404753795,22.2889727378,53.3114519821
28,67.4371847851,36.9253104829,22.8287016277,55.0368021539
29,69.6942361975,37.7135935011,23.3173280802,56.4814686995
30,71.3143934688,38.0047528405,23.4864306426,57.5139437267
31,72.7864155708,38.3717208558,23.5549445627,59.0113064879
32,74.1839739188,38.9177610517,23.753603028,60.0230160738
33,76.0750579038,39.2861194284,24.0295107365,61.5776090543
34,78.8069443756,39.5409006644,24.1334798432,62.6725288544
35,80.7599010111,39.8909741062,24.4500636465,64.1497697402
36,83.0079296297,40.1680735271,24.5753155404,65.7360743192
37,85.0504287478,40.3723923907,24.7613445194,67.1642079359
38,87.4697116201,40.7193473611,24.869576422,68.3064653587
39,89.564299194,41.1690360123,25.0067862624,69.5776716952
40,91.5067630119,41.2351427947,25.0356104281,70.8930690506
41,93.0006050717,41.466147234,25.1679625368,72.0590166278
42,94.7459578976,41.9393497424,25.5712719861,73.6484118488
