Time(Iteration),CAB_2_3,CAB_3_2,CAB_original,CAB_optimal,CAB_5_6
0,6.87553914363,6.87553914363,7.1976232062,6.87553914363,6.87553914363
1,11.903532634,9.49305469449,11.4243864404,10.5533969647,10.3494489298
2,17.8912051768,14.2175296679,15.0552058497,13.6446420149,15.4160958219
3,22.8653622189,16.635062519,18.1557836801,15.8142439228,18.1464258522
4,26.6123174088,19.6016822824,20.7722038631,17.7409216963,22.3522732453
5,30.7609674374,22.4035056809,23.756899826,19.4578079639,25.4110710851
6,34.4514029376,24.6168174469,27.0125401024,20.1637149996,28.6429375702
7,37.5133729228,26.5040214652,28.1126393841,21.1599375813,30.9980575127
8,41.1175277626,28.214507057,29.7863472527,22.4968221836,33.9407388364
9,44.2092728498,30.6288028616,31.2347104721,23.2677567514,37.0270842806
10,48.1468141995,32.6649755246,32.8725470758,24.0189853938,40.5569951715
11,51.1621022032,34.4475754129,34.6395986408,24.5899756586,43.316582807
12,52.8180529137,36.138675669,36.134071718,25.4789902383,45.0021860288
13,55.3648435925,37.4200578177,37.5944958703,26.2312171906,47.6618335268
14,58.1235452029,38.6461859526,38.4049457074,27.0329454935,50.3391861825
15,60.9422896406,40.1239179977,38.9872090965,27.2660991757,52.8546352494
16,64.6673754283,42.07257527,39.6290445695,27.3614210725,55.4737080882
17,68.2299508551,44.1068136523,40.3035487009,28.0116103532,58.6287636565
18,70.9554558793,45.8493951162,41.3292939769,28.9123080906,60.7451644758
19,73.0684186987,47.6570949949,41.8140474861,29.7512803899,63.0187506379
20,76.4357810996,49.8153168263,42.2687220275,30.3101629165,65.817274646
21,80.1276185205,51.8670356668,42.8796936909,30.424633637,68.222123395
22,82.8562847248,53.1998220158,43.7991853956,30.8584476913,70.4900377564
23,85.4738025056,55.460284754,44.2875359303,31.3276653643,73.0281803208
24,88.9674305204,56.7890037426,44.9397559629,31.7924773851,74.6800193464
25,92.2100490811,58.168155171,45.5339541946,32.3440758439,76.7081622227
26,95.380236617,59.858681201,46.2716890441,32.847068212,79.0766524817
27,100.068313907,61.2120250206,47.1843873813,33.2350600087,82.5589561141
28,103.590656676,62.9229763912,48.5276856656,34.0990917507,85.3259218384
29,106.620496555,64.2376700036,48.7309522645,34.2573651977,87.0495052836
30,110.201079419,65.5700064125,49.117803102,34.6594189839,89.0593892
31,113.099703081,66.7610889297,49.4779726144,35.0917568945,91.0326157087
32,116.005152977,67.9695109274,50.2418987082,35.4751756719,92.3329460623
33,119.423938664,69.5935080659,50.9886905317,36.2328972229,94.393403932
34,122.088555398,70.9189726023,51.2980604976,36.5090069144,96.7056294744
35,125.092751284,71.8598551063,51.3630785827,36.5607655073,97.7627299337
36,128.835008555,72.9080697148,51.8047932222,36.9970172074,99.8339408057
37,130.914074527,74.5304906459,52.0685350923,37.3777448481,101.728542212
38,134.137406966,75.8879851639,52.6088652591,37.8077496556,103.256383463
39,136.72503985,77.4183352469,53.127473404,38.1125300141,105.162794856
40,139.636131392,79.6121963948,53.2391311491,38.3153067654,107.332236985
41,142.919860948,80.2984235528,53.7624127467,38.5114839354,110.238449309
42,146.756021784,81.7780142231,54.0508251967,38.847158732,114.147329441
43,148.618772849,82.8683052445,54.30393635,38.9332207743,116.010080506
44,152.096547374,84.959649693,54.8942622414,39.1877249717,119.18480256
45,155.008023029,86.094700303,55.0852705673,39.3635579276,121.436716597
46,157.956076456,87.7316047291,55.2367072581,39.4902717462,124.038357861
47,160.981711249,88.228924037,55.3779577496,39.7887737822,126.472341133
48,164.981680507,89.0177382064,55.7546039508,39.9201712196,130.386746946
49,167.945594326,89.8928970192,55.8548561536,40.0386841816,133.134021611
50,170.492292953,90.566581463,55.9978029669,40.1010526094,135.099216869
51,172.302279415,91.7382415648,56.0319220235,40.1031494863,137.280390686
52,174.288783151,93.0238385855,56.1566450458,40.1631741585,139.963668811
53,176.198565841,94.0560237887,56.4854973392,40.2496674658,142.180136329
54,178.774363061,96.229958524,56.5177100751,40.2669189395,145.639858617
55,180.922565214,97.5479354679,56.6550795828,40.3927886891,149.010890803
56,183.288255321,98.9227387967,56.9011300942,40.4850316794,151.782174206
57,185.491986138,100.012655222,57.0615337074,40.5126037703,153.648740647
58,187.990605584,101.39207456,57.5093566717,40.6521222805,156.450982173
59,189.125692052,102.111643864,57.6294283058,40.6644991977,157.339337955
60,190.439358884,103.061059518,57.9564639172,40.695061115,158.835527335
61,191.661327772,103.701026113,58.0849583703,40.7617656442,159.973265178
62,194.820976277,105.36145929,58.2028207731,40.8239859626,163.060725161
63,196.646977579,106.405933694,58.3611153284,40.8429226524,165.067057323
64,198.19371563,107.265620439,58.4536935263,40.873299444,166.759915746
65,199.690817783,108.190656963,58.4603051592,40.9811345787,168.401904126
66,201.373398473,109.384871934,58.851126711,41.0134883811,170.084484816
67,204.196146379,110.294657925,59.0320745451,41.0496052433,172.481423673
68,206.125968867,111.311501707,59.2023617953,41.1256990983,174.411246161
69,208.510580572,111.740636955,59.2860672962,41.1588878657,176.431578437
70,210.519918003,112.690314095,59.292744623,41.1779723938,178.2140876
71,212.997877053,113.677455214,59.4401289574,41.2546783273,180.572508579
72,215.648984236,114.568373281,59.507869497,41.2908599208,183.223615762
73,217.460833537,115.142226841,59.507869497,41.3213099479,185.035465062
74,219.196628491,116.447912529,59.7164424819,41.3768969948,186.988368151
75,220.311499785,117.088298484,59.8436331114,41.4025318557,188.229749352
76,222.542625324,118.035204481,59.8872984701,41.4370194753,190.075755523
77,224.861748744,118.880051744,59.9425952593,41.4370194753,192.377266461
78,226.423825088,119.425494551,60.0792688639,41.4765143737,193.943408207
79,227.32615152,119.86986074,60.1826287224,41.4926764995,195.107152112
80,229.614917343,120.712126369,60.2015664181,41.5095532929,197.579940463
81,231.141105377,121.455255924,60.2795100592,41.6774538334,199.802085172
82,232.857989394,122.350580496,60.3890708923,41.7189216544,202.356664152
83,233.959674959,123.167196055,60.5520467319,41.7336913559,204.022876922
84,235.728903387,124.340329771,60.5520467319,41.7336913559,206.672330599
85,237.111348606,124.823737218,60.5879724832,41.7336913559,208.358448129
86,238.763667234,125.100314115,60.6439969882,41.7380368865,210.010766756
87,241.052388656,125.608264706,60.7285949636,41.798850657,212.299488178
88,242.567618807,126.309208462,60.7634408137,41.8012899617,213.647028636
89,244.083452669,127.23086067,60.8807679663,41.8232957583,215.312247551
90,246.201308508,128.289496102,61.04518646,41.8606663545,217.440021024
91,247.847363889,128.59610007,61.0962254326,41.8993388677,219.043627149
92,249.342125365,129.059261594,61.1375614366,41.9277312256,220.359819069
93,251.216318242,130.055940154,61.1659846357,41.9382077402,222.184634029
94,253.003729053,131.004863643,61.1882775318,41.9382077402,224.064339733
95,255.046455811,132.052076442,61.2548946012,41.9396650837,226.107066491
96,256.925294554,133.178242587,61.3257586078,41.9855814914,227.985905234
97,258.61930158,133.679427315,61.3858770698,41.9855814914,229.527119645
98,260.181903211,134.201068683,61.390673082,41.9908684486,231.195883318
99,262.055384522,134.767315083,61.3965183236,41.9967136902,233.069364628
100,263.919454382,135.744865705,61.429405238,42.0296006046,235.151537263
101,265.588123073,136.246044342,61.5134949213,42.0515681425,236.922232076
102,266.983074817,137.046451274,61.6364147527,42.0605079058,238.118967559
103,268.656793052,137.541807167,61.6524425874,42.0777080219,239.66366364
104,269.778511483,138.248541387,61.6935258385,42.087973891,240.992695376
105,271.61575985,139.207820068,61.7647111639,42.1243435839,243.156489533
106,273.764755241,139.930349348,61.8054886551,42.1243435839,245.174282922
107,276.339380676,140.850924743,61.9500585569,42.159892249,247.898192279
108,279.020913398,141.684435669,61.9881978998,42.1716629005,249.96957923
109,281.201329568,142.30377987,62.067509017,42.1788483432,252.331531577
110,283.417906785,143.380571518,62.1996912122,42.2187290426,254.548108794
111,285.527250272,144.176585478,62.1996912122,42.2187290426,256.900057099
112,287.176468275,144.977366158,62.2233040941,42.2464705,258.615751115
113,288.349983684,145.616804529,62.2364683269,42.2612063059,259.542884937
114,290.135450544,146.745182554,62.2781003279,42.295628986,260.81629301
115,291.343861064,147.178732133,62.3328488836,42.295628986,261.662864657
116,292.744044938,147.710206636,62.3328488836,42.295628986,262.344158272
117,294.954607558,148.310957125,62.3328488836,42.295628986,263.290008693
118,296.256598183,148.95512195,62.339884139,42.3026642413,264.086383149
119,298.055250556,149.883137061,62.3764866904,42.3241908683,265.224213878
120,299.486622331,150.216402308,62.4243008061,42.372004984,266.040215786
121,301.839189417,151.307540095,62.4243008061,42.3732713209,268.321109274
122,303.803233244,152.046065655,62.4575428445,42.3955846062,270.473414235
123,305.800479015,152.566235772,62.4861991307,42.4113761044,272.552377671
124,307.240763941,153.262686531,62.4861991307,42.4298127147,273.992662597
125,309.300362526,153.942009815,62.4898768737,42.4303052976,275.855282122
126,310.868140041,154.471866176,62.4929751166,42.4303052976,277.12966905
127,313.032673233,155.162503009,62.5186038873,42.4534792749,279.153724093
128,314.52000438,156.248784371,62.5303540495,42.4548260264,280.64105524
129,316.228084737,156.727635119,62.6059758483,42.4656179752,282.583805195
130,318.28223993,157.282841157,62.6507389577,42.4739280671,284.407293896
131,320.955317672,157.927471426,62.6507389577,42.5262192119,287.259878126
132,321.94940892,158.465900221,62.6797047948,42.5435816695,288.474974105
133,323.349504832,158.467234557,62.7142482476,42.5449160049,290.027817201
134,325.260628533,158.50789319,62.725904643,42.5565724002,291.938940902
135,327.076572809,158.560925451,62.7445337813,42.5565724002,293.707483355
136,329.860950051,158.604540586,62.7445337813,42.5565724002,296.491860597
137,330.916491032,158.605852385,62.8458350661,42.5580553763,297.711316332
138,332.237496629,158.628611685,62.8707975638,42.5818045212,298.746919789
139,334.034911581,158.761894678,62.9264209494,42.5828928061,300.460848379
140,335.033104555,158.825869594,62.9276161576,42.6089516517,301.944175921
141,336.671237608,158.836340429,62.9380869928,42.6089516517,302.498795634
142,338.747924866,158.83634872,62.9380952836,42.6089599425,303.46270128
143,341.073699845,158.866511911,62.9710272327,42.6219484373,304.036412492
144,342.72396418,158.940630392,63.070509033,42.681303266,304.994990224
145,343.722816233,158.949318951,63.0839588507,42.6899072378,305.721214539
146,345.570491948,159.036722926,63.0839588507,42.6899072378,306.67743028
147,347.182191396,159.037855321,63.0939352419,42.6910396333,307.33088717
148,349.545059608,159.045030868,63.1011107887,42.6982151801,308.368704922
149,352.650084604,159.082730504,63.2284917889,42.7352391268,309.532812335
150,354.896725694,159.104381789,63.233322223,42.7400695609,310.884539857
151,354.951463755,159.117741442,63.2575043179,42.7400695609,312.044684764
152,355.004366888,159.183001642,63.285657544,42.7490104048,312.753244052
153,355.03906264,159.196947236,63.285657544,42.7511942502,313.380591687
154,355.045916371,159.210793726,63.2871213978,42.7526581039,314.120171268
155,355.163631895,159.261526829,63.3045880423,42.7606992507,315.00938875
156,355.182011309,159.261526829,63.3045880423,42.7656169763,315.641402699
157,355.194007198,159.27550668,63.3106141803,42.7687592058,316.561206669
158,355.214028477,159.282899327,63.3106141803,42.7687592058,317.127266669
159,355.299492776,159.306669112,63.3232576472,42.7764039159,317.922012804
160,355.29958446,159.306760796,63.3232576472,42.7764956001,318.506283622
161,355.376952593,159.32318767,63.3289062552,42.7906363339,321.07961932
162,355.486427083,159.34601952,63.3342354215,42.7906363339,322.688342261
163,355.494259779,159.353852215,63.3810670549,42.7906363339,324.528000273
164,355.497592256,159.357184692,63.3810670549,42.7906363339,325.45589677
165,355.565888991,159.438452576,63.4014809742,42.8016243796,327.291080286
166,355.595445525,159.466619846,63.4355566843,42.8016243796,330.008510989
167,355.648859247,159.483945021,63.4686722099,42.804821507,330.810448385
168,355.650631471,159.483945021,63.4686722099,42.8065937306,331.851597365
169,355.655360043,159.53019956,63.4734007828,42.8113223035,331.918332161
170,355.663853782,159.533110355,63.4792618201,42.8212414121,331.930431632
171,355.684988938,159.565614547,63.4855208004,42.8507748458,331.971217696
172,355.689548868,159.565614547,63.4978681813,42.8507748458,331.975777626
173,355.714270469,159.62005014,63.566344678,42.8705687861,332.000499228
174,355.825363838,159.664956867,63.5768529583,42.8724561907,332.085485558
175,355.841507246,159.780459853,63.641075655,42.9366788874,332.101628966
176,355.926761636,159.83610157,63.6540609743,42.9496642067,332.186883356
177,355.952472827,159.863302459,63.6596722789,42.9552755113,332.192494661
178,355.980817536,159.888216149,63.6880169875,42.9552755113,332.211515086
179,355.980817536,159.888216149,63.6880169875,42.9552755113,332.211515086
180,355.984819158,159.924881696,63.764487418,42.987939437,332.284198045
181,355.99125781,159.924881696,63.764487418,42.987939437,332.290636697
182,355.99125781,159.94033002,63.7779200068,43.0129773483,332.303423498
183,356.00845675,159.955992755,63.779456212,43.0145135536,332.341185027
184,356.00845675,159.961465698,63.7988946635,43.0168010352,332.382296173
185,356.00845675,159.989245286,63.8148063351,43.020816117,332.382296173
186,356.029905953,160.028598159,63.831371966,43.0440689104,332.403745377
187,356.055862459,160.06618556,63.8454738981,43.05255294,332.472508757
188,356.085323737,160.078314857,63.8548131443,43.0569670791,332.499179985
189,356.114704618,160.084027949,63.8548131443,43.0569670791,332.504893077
190,356.114704618,160.084027949,63.8548131443,43.0569670791,332.504893077
191,356.114704618,160.084027949,63.8548131443,43.0569670791,332.504950948
192,356.114704618,160.091658605,63.8659036611,43.0628257514,332.504950948
193,356.198876229,160.127359306,63.8829168078,43.0759241192,332.53340651
194,356.198876229,160.127359306,63.8829168078,43.0759241192,332.53340651
195,356.206143172,160.134626248,63.8955224279,43.0759241192,332.540673452
196,356.206143172,160.134626248,63.8955224279,43.0759241192,332.627208833
197,356.206143172,160.134626248,63.8955224279,43.0759241192,332.627208833
198,356.213281511,160.135770076,63.8966662554,43.0910713611,332.627208833
199,356.250645164,160.173133729,63.8966662554,43.0910713611,332.664572486
