Time(Iteration),CAB_original,CAB_cbj+cbij
0,5.85176038155,6.8411525369
1,10.0676693342,9.87774301005
2,13.857057287,12.4319821902
3,17.4257322174,15.8526888922
4,20.2349068569,18.7165200106
5,21.6093145007,21.0867490931
6,24.2259557627,23.2484410219
7,25.6609141167,25.0687765295
8,26.782098981,26.495033223
9,27.859668123,27.8645725965
10,28.8123192333,28.9404920958
11,29.4318248022,30.7158342275
12,30.5613021593,32.0796824926
13,31.5172269969,33.3801950238
14,32.0225434187,34.3577136524
15,32.5547782844,34.9200000031
16,33.2821268987,35.6843366089
17,33.8822872539,36.0943244895
18,35.0434899633,36.9933631772
19,35.6330520217,37.7436318477
20,36.2709304151,38.4085503517
21,36.8021047153,38.91801028
22,37.6386145536,39.7285274412
23,38.0154016408,40.2139457878
24,38.3101014096,40.6007280987
25,38.4814598801,41.0599577309
26,39.2117376753,41.8784088613
27,39.5576637823,42.3697396851
28,39.9938827011,42.893617255
29,40.124609916,42.9570015837
30,40.392908627,43.3734613136
31,40.7443430312,43.9200294465
32,41.0016261853,44.0573948556
33,41.3805052669,44.4266976478
34,41.4846444276,44.6239813011
35,41.9851449506,44.8823933534
36,42.2753632044,45.333229523
37,42.9100604264,45.8212008099
38,43.174555902,46.2368304134
39,43.3576116984,46.4378826169
40,43.7359896518,46.8489545332
41,43.9856921311,47.3808540889
42,44.1415512762,47.7806622826
43,44.4976487581,48.2331462146
44,44.6158634546,48.7377552949
45,44.9547826388,49.2082222302
46,45.1508791439,49.7451807406
47,45.466261092,50.1825703131
48,45.9153825204,50.5145103704
49,46.0116963318,50.8243166186
50,46.3728081896,51.1865365025
51,46.6255193291,51.2960392778
52,46.7810319824,51.7347503536
53,47.483927323,52.2451857007
54,47.8911935898,52.5858176838
55,47.9797322703,52.6616561895
56,48.1884734775,52.998769579
57,48.484402139,53.2952814569
58,48.6624295495,53.5820524004
59,48.756574483,53.775252311
60,48.995537336,54.2852185537
61,49.1016456959,54.5179392419
62,49.4008685509,54.7158022553
63,49.7919815019,55.1406074429
64,50.062661696,55.5041665142
65,50.1938341418,55.6213136689
66,50.2945405457,55.6863846502
67,50.4793932024,55.9587274864
68,50.5657909012,56.5567318358
69,50.5906290023,56.638117541
70,50.7750627545,56.6852318453
71,50.8692245961,56.778308334
72,50.9955598934,56.8312605014
73,51.1343707514,57.0582474645
74,51.2215911625,57.4242339992
75,51.2453945279,57.560878081
76,51.5282751929,57.7143793353
77,51.6773064967,57.9623062935
78,51.8281991121,58.0711705259
79,51.956742413,58.2097720946
80,51.9871816884,58.2484767032
81,52.3520429393,58.5195675423
82,52.4701279959,58.6161050263
83,52.7613552773,58.9084481574
84,52.841225768,58.9827453402
85,52.9900290439,59.1605666906
86,52.9974223035,59.1786898256
87,53.0407032406,59.2219707626
88,53.1349962156,59.2705479707
89,53.1592665677,59.3065420267
90,53.2404391953,59.4252523969
91,53.2911963491,59.4994028185
92,53.4333577969,59.6700673259
93,53.5464324615,59.9109022976
94,53.5655347019,59.9123293591
95,53.6241930199,60.0075029056
96,53.8519595181,60.0479899079
97,53.9843530507,60.1784437985
98,54.1410717918,60.3622171344
99,54.4182114621,60.5132021088
100,54.4251858358,60.5201764825
101,54.4386129854,60.5380587916
102,54.4628486705,60.6341198306
103,54.5151306805,60.6753021835
104,54.691918123,60.7187203032
105,54.7821187334,60.7885057675
106,54.8189534344,60.7885057675
107,54.8446495056,60.9111709684
108,54.8679529749,60.9837035385
109,54.8939994761,60.9857682953
110,55.0333323037,61.2169219156
111,55.0678242432,61.2514138551
112,55.1767687984,61.3422193089
113,55.2061731685,61.3952039805
114,55.278973008,61.469020424
115,55.4216707775,61.5054195389
116,55.4216707775,61.555002523
117,55.5115564745,61.6310590933
118,55.5115564745,61.6968369169
119,55.5377450463,61.7230254887
120,55.5951245594,61.7368270425
121,55.6689879213,61.8071475762
122,55.7398557602,61.8804858795
123,55.7550755861,61.962863175
124,55.7841113682,62.0217574761
125,55.9761418091,62.0378364173
126,55.9823884396,62.0667735237
127,56.1213208551,62.1608539072
128,56.218066351,62.2695554525
129,56.3203784492,62.3822080167
130,56.3647259171,62.3822080167
131,56.4237834137,62.4077735018
132,56.4514200344,62.452834245
133,56.4650341923,62.5029048842
134,56.4820954518,62.6135279257
135,56.5237300169,62.6595971515
136,56.5605057725,62.7059293743
137,56.6521209682,62.7590231851
138,56.6682233733,62.7751255902
