Time(Iteration),CAB_reject,CAB_original,LinUCB
0,8.04634790781,5.56538793846,8.19523650583
1,12.256083352,8.86201474892,12.511026074
2,17.4586441629,13.2520115272,17.1899977284
3,21.8552344107,17.5587610587,21.3048688861
4,25.6680743903,20.5863815888,24.5453020322
5,28.058064943,23.505066815,27.1083386755
6,31.1291776066,25.941557623,29.6308027058
7,34.215688505,26.9900688891,31.0177177571
8,35.636431421,28.7197723598,33.8821169182
9,38.3945333312,29.9550194369,35.2318125472
10,39.8043623667,31.1932248756,37.1198651763
11,42.3910751834,32.0157835487,38.3489170525
12,43.684502163,33.0100982381,38.9314945393
13,45.6250104633,33.4482601861,39.8527636499
14,46.7850092995,34.3459590262,41.004611381
15,48.3025666724,35.3587998251,41.9916545427
16,50.1693088176,35.9501585805,42.8720827457
17,52.1519141961,36.5252755053,44.0124853503
18,53.8581924126,36.8050454056,44.8157458896
19,55.7395341948,37.2921769622,45.5654090974
20,57.8202135481,37.541083595,46.0896454751
21,60.0661540116,38.1693650146,46.7112906438
22,62.0510723373,38.5896940885,47.3908646395
23,63.051958731,38.8880139337,47.7094002831
24,64.5187751956,39.1061224564,48.2537290339
25,67.1815636129,39.3452075234,48.543808132
26,68.3126198834,39.6011108416,48.9158666975
27,70.5795535944,40.0625417058,49.2380147535
28,71.9035832936,40.3803242319,49.5627550239
29,73.4625894158,40.7030163216,49.8834415346
30,75.809379715,41.1185638739,50.4761684828
31,77.851892003,41.3375295784,50.6832540205
32,79.2031524202,41.4680430931,50.9375074127
33,80.9829893856,41.6566133307,51.2839917482
34,82.6160053969,41.746294854,51.4712883149
35,84.3865005165,42.3033478606,52.0523900633
36,85.9652427785,42.6022282609,52.261351079
37,87.8972745511,42.8607536692,52.4923219164
38,89.493362199,42.9449196214,52.6728160808
39,91.2198775006,43.0281595609,52.8537268603
40,93.6317659891,43.1979494134,52.9806556679
41,96.1485729677,43.4082396183,53.1217905117
42,97.4594300218,43.4935409863,53.4436511797
43,99.1988291437,43.8413420636,53.5272405165
44,100.417904916,43.892186338,53.6326130994
45,102.47825556,44.0367117059,53.684500394
46,104.270682913,44.2707352582,53.8175780037
47,105.557988396,44.4804902612,53.8953370725
48,107.070000982,44.65088004,54.1988394985
49,108.524491547,44.8466009977,54.3545224269
50,110.636627504,45.231958541,54.6492034376
51,112.147482205,45.7221680165,54.9203499115
52,113.488939872,45.7267760992,54.9249579943
53,115.580572143,45.8613696202,55.0264745235
54,117.60113222,46.0739619208,55.0976768467
55,119.34630179,46.113017469,55.2614369207
56,120.877834676,46.2821293061,55.3928443892
57,122.873829012,46.495479864,55.4274845826
58,124.900943287,46.7567961547,55.5571451052
59,126.360074513,46.8966381074,55.6783541714
60,128.312458789,47.1013718515,55.7525669261
61,130.278015104,47.1749216622,55.8437942269
62,132.428463607,47.240219985,55.8713678014
63,134.400230738,47.2499483563,55.8822878199
64,136.753700293,47.2716151622,55.9025272514
65,138.149233936,47.3383854468,56.0091621594
66,140.479033077,47.5955030568,56.2557444918
67,142.47302501,47.718238227,56.3273059021
68,144.164662167,47.7793033259,56.3565860108
69,145.995249293,47.8141330269,56.3865601861
70,147.201734959,47.8721133681,56.4634380939
71,148.671943619,47.9988215838,56.6312608053
72,151.037848313,48.0909466845,56.6987900295
73,152.866075775,48.3051291734,56.9010282348
74,154.711024446,48.3258868062,56.9163335235
75,156.406081263,48.3596561699,56.9966759145
76,157.613891413,48.4433933748,57.0820021134
77,159.162525764,48.4703088978,57.1089176364
78,160.986136148,48.6335624811,57.1681823339
79,162.506361504,48.6615139063,57.2095015645
80,164.075369604,48.9247832588,57.3161395363
81,166.025988979,48.9247832588,57.4177570006
82,167.498089941,48.9341361695,57.5007155398
83,169.850060526,48.9682044068,57.5137371109
84,171.180349257,49.0490622692,57.526364368
85,173.037345785,49.1588576954,57.6029379527
86,174.16239378,49.3132856469,57.6824372632
87,175.620096166,49.3569331879,57.7569526328
88,177.46609753,49.4764013889,57.9185403684
89,179.288044813,49.5159202191,57.9257631683
90,180.778493603,49.6086658585,57.9776040292
91,182.14328652,49.6834425604,58.0132363984
92,183.580733158,49.6921267418,58.0258243564
93,186.075785417,49.7159951065,58.0336429271
94,187.811180939,49.7373991896,58.0550470101
95,189.193172665,49.9541089632,58.0857493842
96,190.201851532,49.9541089632,58.0857493842
97,192.560155113,50.1058716368,58.162845526
98,194.362904739,50.1428406435,58.1764395446
99,195.906837208,50.1992801438,58.2105801064
100,196.878982705,50.2386338401,58.2243608231
101,199.696539909,50.2502954523,58.2404779562
102,201.053710187,50.2919131605,58.2404779562
103,203.074684791,50.3921039353,58.2919105905
104,204.253735002,50.3982613242,58.305878484
105,205.543010008,50.4818808918,58.3240891495
106,207.497294784,50.5092433573,58.4109901757
107,209.298837976,50.5577650243,58.4109901757
108,210.851126121,50.5577650243,58.4221127987
109,213.043012479,50.6694992114,58.5026048239
110,214.225785542,50.7133002293,58.5521158096
111,215.908620478,50.7133002293,58.5521158096
112,217.248591639,50.7519863541,58.566260989
113,218.720403504,50.7553153479,58.5878522617
114,219.90673979,50.9299708984,58.6097283357
115,221.529833208,50.9486845129,58.6284419503
116,223.366920236,50.9792532641,58.6740447807
