Time(Iteration),CAB_5_2,CAB_3_1,CAB_original,CAB_optimal,LinUCB
0,6.37278322003,6.37278322003,5.28199201077,6.37278322003,6.27752965606
1,10.8257987525,10.1451247108,9.86842919713,8.48510694253,11.6627755607
2,14.4863199322,13.5728974323,13.1259298564,9.61435947482,15.0673516984
3,18.303693456,17.6356413045,16.1405502549,11.4865620236,18.0688512424
4,21.9191478187,21.2021378442,19.02744266,13.7119093468,21.560742452
5,24.9811546245,24.015625987,21.2764097635,14.4969811903,23.1742679907
6,28.1752530678,26.9184540175,22.5056357432,15.3182702608,24.3882101755
7,29.5458632896,28.2084787223,24.4077122741,15.9831019646,26.4160482186
8,31.8013999711,29.8689260256,25.888329774,16.8549255202,27.5892876131
9,33.762202655,32.1736279947,27.4025328194,17.5881375957,28.9970629729
10,35.5945740185,33.8147522534,29.1654036584,18.2760092785,30.5013811522
11,37.818145898,36.0992953588,30.3014956884,18.8771564981,32.0921268332
12,39.8346074681,38.1550214091,31.9500278151,19.7246775819,33.4786349604
13,41.3419256128,39.6522870551,33.3702252851,20.1354253638,34.4645352224
14,43.1255263689,41.3378120505,34.7328533356,20.6539018204,35.9113732637
15,45.8115510449,43.8777022408,35.3812671586,21.1980429543,36.5336909148
16,47.9354429579,45.6329808974,35.9864702167,21.4682607045,37.174279336
17,49.4973507229,46.8027453487,36.515171515,21.962018879,37.8633454637
18,51.5041660226,48.2843272137,37.0728845856,22.3107416028,38.3027399521
19,52.7924201577,48.8839821363,37.3900525362,22.4236323267,38.5742744683
20,54.4707913901,49.9049588566,37.7265318723,22.6990819368,39.0760006252
21,55.7424407055,50.9778832177,38.1000185812,23.0480811165,39.3876085782
22,56.620575282,51.8979287076,38.2370539796,23.4938527985,39.6852542058
23,57.8504758617,52.7794041933,38.585537833,23.8514820332,39.9903990907
24,59.4676894787,54.3303515497,39.2759937718,24.4634635425,40.6193764032
25,60.5954911073,55.3447801913,39.5593325441,24.7334501433,41.0605748638
26,61.8787196792,56.2493531672,40.0646337747,25.0753186286,41.7274811979
27,62.628709282,57.1748109756,40.7032261437,25.4898418628,42.0819088052
28,63.5794953739,58.2089233366,41.0434256596,25.8880668191,42.6270059723
29,64.2598678703,58.6849444921,41.4937976762,26.4770197556,43.0161137581
30,65.0383926363,59.1985415809,41.8032847664,26.8413946689,43.5165363959
31,65.6883333643,60.1232207411,42.1886401057,27.2734152795,43.9898811906
32,66.6722643093,61.1557826745,42.6147310551,27.5795726079,44.2677424738
33,67.3496367774,61.6454106224,42.8398398833,27.6998886805,44.5397524843
34,68.275632044,62.3118142755,42.8654504568,27.7834595407,44.638916478
35,69.3282143361,63.0623371841,43.0372632444,27.9552723283,44.8755787112
36,69.8187312181,63.5640331618,43.302333614,28.2543593618,44.9628584572
37,71.1614227876,64.3231824254,43.5960437726,28.4564339563,45.2123531903
38,72.2950647784,65.2100851301,43.9738903211,28.5865308797,45.3733264088
39,73.418119738,65.9728324247,44.0254208049,28.6679465555,45.4628890795
40,74.4982163325,66.6855387995,44.2233855137,28.8314295544,45.8735912076
41,75.303933581,67.3223854157,44.2641876399,28.8884799516,45.9719455204
42,76.2196076057,67.669619563,44.5331681924,29.0492449393,46.1612430466
43,76.9432449024,68.0814990967,44.6600108138,29.2162986891,46.229165941
44,77.9911017344,68.8695834467,44.8860333202,29.4087134721,46.3291740493
45,79.0440831886,69.4051701172,45.0948187766,29.6793436121,46.6639066969
46,79.7045265565,69.6215407543,45.2300093122,29.9148098283,47.0146312134
47,80.5799021226,70.1782335726,45.3073833265,29.9921838426,47.116445013
48,82.1262822377,71.0076153785,45.4117663449,30.0586446855,47.1517861929
49,83.2891159484,71.720466661,45.6114132912,30.116872503,47.2370281868
