Time(Iteration),CAB_original,CAB_cbj+cbij,CAB_optimal,LinUCB,CAB_cbj,CAB_cbij
0,7.43370504852,6.93651060238,6.93651060238,6.20511487687,6.93651060238,6.93651060238
1,12.5044683528,8.23732410342,8.9827763925,11.480490069,9.24724937661,9.76757615206
2,15.6164372578,8.81462114001,10.5207614394,14.1696939046,10.2664621486,11.0778899521
3,18.5152064585,9.51821097017,12.2633621695,16.9249334797,11.5561091596,12.9664104145
4,21.041144494,10.1504652042,13.9708004864,19.1561253545,12.535224871,13.9250415148
5,22.873826266,10.5108407738,14.8274666874,22.2023420916,13.3176834269,14.8196546608
6,25.340790674,10.710784277,15.9190109391,24.663454672,14.3230400878,15.5898006272
7,27.6232756477,10.9776389032,16.6502190805,26.5559557386,15.0729448264,16.4727583445
8,29.0537578943,11.3810142294,17.3674768112,29.0192866307,15.9370704388,17.1827363756
9,31.3103053075,11.7309966515,18.8225800268,30.5441533608,16.4603077153,17.9553495417
10,32.8504965137,11.7888606053,19.6864744907,31.7522464453,16.7155552785,18.2714659019
11,33.7825488108,11.8812696283,20.2973999554,32.8389120867,17.0264106807,18.595722638
12,34.4788823911,12.0604325198,21.2710236928,34.0909532467,17.2736060145,18.8160997341
13,35.0557077436,12.2614595193,21.617962311,35.164522216,17.6701248638,19.252186258
14,35.8669172598,12.3396851131,22.5857149531,36.0994991275,17.8575895387,19.4558973512
15,36.8754461586,12.4227065215,23.1776715546,36.7538680611,18.3938754002,19.8847042696
16,37.5406125011,12.519147156,23.5204481062,37.5153788806,18.8161389483,20.0917104025
17,38.2611416104,12.6800095794,23.9565267511,38.8772158263,19.172146792,20.2316950338
18,38.9920531906,12.8312190414,24.4255973287,40.1214343784,19.2993394323,20.3357183532
19,39.4915242333,13.1195504965,24.9873896381,41.0237516103,19.7718927707,20.760028754
20,40.3653981475,13.1644592891,25.7147376539,41.9230525609,20.0006320606,20.8049375467
21,40.893185632,13.2108005871,25.9340146084,43.2828989404,20.2090055204,21.0475408038
22,41.7238405326,13.2923041459,26.4373924201,43.7971814998,20.3270211578,21.1386962298
23,42.5545300849,13.3205819434,26.8583785223,45.0557467996,20.4356364487,21.2473115207
24,43.2818917612,13.3719672617,27.2186374443,45.6792085737,20.7511833436,21.4203405719
25,43.8977559061,13.4366950591,27.5918137834,46.2568652587,20.8257840471,21.6084860825
26,44.3773656698,13.4976717415,28.1537899982,46.9097142056,20.9048070503,21.6318723789
27,44.8679433096,13.5802575503,28.5657090355,47.7490352123,20.9962115239,21.7086542669
28,45.5656052316,13.6678952394,29.0166132247,48.3310770625,21.0786765781,21.8095670107
29,45.9236769036,13.7280144575,29.6444295113,49.2273498322,21.1975025647,21.8804942675
30,46.1887778056,13.7450386393,29.8730052689,49.5753226975,21.1975025647,21.8804942675
31,46.6512597263,13.8487365008,30.2927774043,50.1586728094,21.495005857,21.9745561946
32,46.968754424,13.9152319549,30.5590998511,50.9791127969,21.5278968076,22.0074471452
33,47.8352908766,13.9579087805,31.2765412654,52.0361716197,21.6185188548,22.0501239708
34,48.2665038327,14.0354315659,31.5847704269,52.3840698304,21.6856162738,22.1653039514
35,48.7309891086,14.0428847614,32.216937737,53.2310009455,21.6900824123,22.3083956488
36,49.2646863456,14.1844434366,32.6598092038,53.7621373584,21.7389265802,22.3328386484
37,49.8414393742,14.2607391463,33.0035295045,54.4570242852,21.9572531018,22.4507746765
38,50.1799052506,14.2784076425,33.3609611947,54.9925850959,22.0200573558,22.4734734667
39,50.6847917708,14.3014067852,33.8095503229,55.5849094047,22.0430564985,22.4964726093
40,51.1533191873,14.3014067852,34.3128843632,56.2800599104,22.0453628203,22.4964726093
41,51.4671931179,14.3548185706,34.549917798,57.0569445373,22.1052774279,22.4972664831
42,52.0124282147,14.3971554791,34.9192522064,57.480669972,22.1083443985,22.5317614527
43,52.0737127948,14.4319372895,35.0107387673,57.6368716624,22.143126209,22.5682891668
44,52.6639531351,14.4540973963,35.198109478,58.128700526,22.2270644759,22.5782066195
45,52.8304220093,14.4818443411,35.2769312555,58.239885219,22.2763919059,22.6059535644
46,53.2072085864,14.4996237379,35.5739526374,58.4085789729,22.2933276651,22.6228893235
47,53.4482972827,14.5135917128,35.7897214013,58.6591614981,22.2933276651,22.623492082
48,53.7987829314,14.5495764722,35.9106282137,58.8557472386,22.3002556301,22.6404862339
49,54.0819670821,14.5508741513,36.1052649089,59.2366617258,22.3071621782,22.6497807122
50,54.4319492543,14.5864081616,36.3024195575,59.6585546563,22.356734244,22.7075816042
51,54.5874469365,14.6397456239,36.4736813989,59.9113621483,22.3703636817,22.7212110419
52,54.7532219404,14.7217324693,36.6122604139,60.0565441197,22.3851015503,22.7515255244
53,55.1017569194,14.7239343757,36.9322413513,60.3222061073,22.3873034567,22.7537274308
54,55.3293463733,14.7278234684,37.1109499103,60.8056134181,22.3907772728,22.7774678708
55,55.7217976234,14.7623050095,37.2801984537,60.9030196127,22.5108694392,22.811949412
56,55.8234515401,14.7623050095,37.5201831936,61.2172947199,22.5187892117,22.8154695114
57,55.9319326227,14.7662710244,37.669635417,61.3539494665,22.5437530275,22.8404333273
58,56.166048045,14.7693133643,37.789573943,61.4794669695,22.5472089312,22.8438892309
59,56.2888949035,14.8199778468,37.8856376805,61.610680104,22.583892031,22.8527002986
60,56.6599304451,14.8623866487,38.1730511091,61.8207272808,22.6593697515,22.8599752642
61,57.1082406521,14.8982993838,38.3445649719,61.8503595778,22.6593697515,22.8599752642
