Time(Iteration),CAB_cbj,CAB_original,CAB_optimal,LinUCB
0,5.03919499679,7.16838412067,5.03919499679,5.14556939302
1,7.10451134279,13.6142567049,6.23953570354,10.7168395817
2,8.24257836078,19.3982765039,7.39340911269,13.8358493551
3,9.53547994858,22.818960228,9.78342160207,17.1799163936
4,10.1321233956,26.9549013619,11.1637863366,20.3681949469
5,10.795184576,30.2496173878,12.963863703,23.7087327161
6,11.8539883215,32.4762487339,14.3816747567,26.8932037816
7,12.5946921749,34.4855469602,15.5728755498,28.5760343803
8,12.6758987001,35.7222885709,16.6480684282,29.4144238624
9,12.9583967229,37.2969187758,17.6770280427,30.6990851038
10,13.2805660398,39.2577092674,19.1669065026,32.5226283858
11,13.5893876365,40.3257718036,19.8894032455,33.4561265504
12,13.8083909294,41.6318563943,20.3612774228,34.5766049748
13,13.9094625071,42.7316905291,20.5976004491,35.3000935754
14,14.0157249541,43.7054130297,20.8004734265,35.899778194
15,14.1967707132,44.571403052,21.3421917497,37.0033093788
16,14.2916856535,45.0760329748,21.6234458784,37.4911125167
17,14.4808212788,46.2060032093,22.3467017179,38.6384821147
18,14.6703102577,46.7018442935,22.8281392994,39.220537172
19,14.8540201979,47.2488120476,23.4061650737,40.0620496954
20,15.2260052762,47.6788878571,23.8519312406,40.5187708926
21,15.2514654959,48.3604429574,24.2781053902,41.4315001979
22,15.3752632986,48.6276632961,24.5338946793,42.1175719139
23,15.3915909856,48.9294889716,24.863537979,42.7407170522
24,15.438646599,49.4131263185,25.2024931035,43.2531618622
25,15.4404843834,49.6831469425,25.6496254214,43.9021437736
26,15.5755418127,50.4143119536,26.3260960756,44.6322797956
27,15.5897427519,50.5964894069,26.4574984388,44.8266405661
28,15.6755428776,51.0717881678,26.5561773272,45.1697102219
29,15.7374804693,51.740111312,26.8638020489,45.9635993921
30,15.9288190279,51.9779374725,27.1422096862,46.2670060883
31,15.9288190279,52.236529795,27.4053042799,46.583796359
32,16.1146636673,52.4483585851,27.7191942769,46.7800692063
33,16.2992082853,53.2929625297,27.9859737626,47.3650580355
34,16.4373247394,53.8580397946,28.4425780875,47.9445709698
35,16.4447845148,54.0701710549,28.678138389,48.2606167419
36,16.4697205176,54.3805568103,29.0568453491,48.5029667069
37,16.523002525,54.6849743144,29.1959150304,48.8765673515
38,16.5243823517,54.860773921,29.3248721351,49.0103058705
39,16.5317729973,55.0469238156,29.5942495992,49.2289504133
40,16.560408059,55.4296932974,29.813795774,49.5868510363
41,16.5847106631,55.6087768903,30.0022620731,49.7572363697
42,16.6315896694,56.1278371148,30.3401717314,50.2921966179
43,16.634550199,56.3803161906,30.4419154266,50.4219955306
44,16.6376843847,56.6928509204,30.4450496124,50.4796094883
45,16.64891124,56.8812785095,30.6152620561,50.6587997667
46,16.64891124,56.9955528671,30.9300735718,51.1872206654
47,16.7053288958,57.2585605275,31.1424141949,51.420873073
48,16.7053288958,57.4812599992,31.1424141949,51.582239193
49,16.7123764435,57.6260203758,31.2197861111,51.7644530068
50,16.7577300643,57.8069844813,31.4050879144,51.9735493049
51,16.7577300643,57.9374801865,31.6555015298,52.0245863965
52,16.76757555,58.0149244291,31.7315981848,52.1009526242
53,16.8004138986,58.2090991521,31.8750857413,52.2413844391
54,16.8060565517,58.2228322556,31.9005714118,52.25946415
55,16.811012323,58.2333302986,32.0031749187,52.2695125201
56,16.8197301949,58.2420481705,32.1195327952,52.3863902931
57,16.8554650975,58.3433166952,32.2916976501,52.5575898839
58,16.9036722615,58.5309111774,32.6006540398,52.9388894764
59,16.9036722615,58.640718667,32.7099698979,53.0029831984
60,16.9294348879,58.7216256623,32.7831218215,53.0616518808
61,16.9294348879,58.8538660045,33.0969914149,53.1932023142
62,16.9413338617,59.0728976001,33.1786683618,53.4396461899
63,16.9623820914,59.0935117678,33.1992825294,53.4793678611
64,16.9914311505,59.2390151381,33.3426475924,53.7597152859
65,17.0094447042,59.4098979321,33.4161759589,53.8487423301
66,17.0196156851,59.4592521034,33.5389553406,53.9814527641
67,17.0279392457,59.6421629934,33.6762454835,54.1413401258
68,17.0311715132,59.9136287718,33.7903633939,54.6652700753
69,17.0426858269,59.9768932058,33.9114023725,54.7520996114
70,17.0701462231,60.2669047846,34.1784813654,54.8407017768
71,17.1093641722,60.3689378681,34.270904596,54.9506369608
72,17.1471067215,60.4682946351,34.2998047883,55.0207003529
73,17.1486557222,60.5316786226,34.361639775,55.1151799811
74,17.1514561615,60.6220698955,34.4491483081,55.2565818979
75,17.1534259636,60.8805494387,34.5119737756,55.4669677404
76,17.1766399119,61.0122949853,34.6240713715,55.5412376708
77,17.2180328448,61.0660291178,34.8100227331,55.5915637947
78,17.2188791072,61.106373534,34.8100227331,55.7065045323
79,17.2558208455,61.1549685304,34.9051922987,55.7881024141
80,17.2762147786,61.2943236068,35.0494708911,55.9779758055
81,17.2860150399,61.3538822456,35.1133577431,56.0824987012
82,17.3167932465,61.4530187393,35.1249416006,56.189521766
83,17.3729477528,61.6364734482,35.2644610485,56.322076421
