Time(Iteration),CAB_original,CAB_cbj+cbij,CAB_optimal,LinUCB
0,6.57177822216,6.82165694745,6.82165694745,7.00718307791
1,11.0201014307,12.0322156761,9.62550440127,10.8581510658
2,15.059665897,16.4920060385,11.639827551,14.0266498966
3,18.5432207687,20.4649227014,14.5285451027,17.7251385448
4,21.3111864739,23.2940869469,15.8890523094,19.3482528668
5,22.9131807964,25.8746336493,17.146539734,21.0110305203
6,25.3780258871,27.9633854252,18.5947429163,22.5054525704
7,25.9951313883,30.266909868,20.0836453244,23.9632432299
8,28.0805857424,31.8890728619,20.9386107792,24.9630061378
9,29.4080641544,33.1113547038,21.7110583318,25.6249059613
10,30.8191440985,36.2786667477,22.9149942469,27.3817804866
11,32.474017152,37.9241762906,24.1383074277,28.7298339401
12,33.3485028276,38.5628422415,24.8248421346,29.3457373956
13,34.8035904269,39.849050166,25.6607924188,30.6382506663
14,35.283155713,40.4216085527,26.2133278292,31.5870655895
15,36.3774684341,41.1754044448,26.6034262445,32.8504207157
16,37.643835209,42.6987961348,27.4056110321,34.1601081553
17,38.4568284888,43.7339394259,28.3709530115,35.1590490527
18,39.3847136428,44.1913611925,28.9872839744,35.9133845651
19,40.2513103294,45.1432158371,29.416174262,36.7000783037
20,40.7305936768,45.6492415433,29.831754908,37.6108017161
21,42.185388181,47.0138301872,30.7585013471,38.7570219021
22,42.5860647194,47.4090863072,31.2174323274,39.2714997548
23,43.0541811454,47.8401887204,31.6281655007,39.5714630095
24,43.5859409872,48.6258702775,32.5265555078,40.03598566
25,44.2662272089,48.9942415915,33.1704912098,40.7136479228
26,45.176950429,49.63955161,33.8870749069,41.4825583376
27,45.5821910463,49.8083770512,34.1121687739,41.6754280017
28,46.2577318555,50.0555266965,34.574870887,42.2155911738
29,46.6585935465,50.3594520931,34.6486456364,42.4571551354
30,47.210286776,51.0502339743,35.1436113765,43.0667013372
31,47.5979544518,51.2307472251,35.4539189857,43.2069225399
32,48.1662154681,51.580092696,35.6551031947,43.5002039628
33,48.6356564894,52.0760596496,36.1148218759,43.8987237281
34,48.9891965906,52.3065445647,36.2490368459,44.0367382526
35,49.6426708343,52.6383417773,36.3644233135,44.6955190727
36,49.7485956047,52.6454088765,36.5201022433,44.9214851217
37,49.9319677998,52.74037056,36.6319842357,45.1313096386
38,50.6601909457,53.0797646934,36.7770975636,45.525914894
39,50.9302171833,53.3535631536,36.8823522752,45.6526720974
40,51.1638077323,53.6085757368,36.9464731217,45.7640858448
41,51.5000577281,53.8781249947,37.0258383519,46.0732101452
42,51.9836781696,54.1417073634,37.0983917724,46.4620484752
43,52.2226547739,54.3578052408,37.1287477438,46.8025077279
44,52.627548512,54.6629867436,37.4592560668,47.1073668783
45,52.9312084715,54.8925484988,37.6261743186,47.2530518469
46,53.1844823344,54.9678520255,37.6261743186,47.426131846
47,53.3909849728,55.2909662598,37.8778197337,47.6686836153
48,53.9661087362,55.6393023505,38.0353113359,47.9277640546
49,54.3061718203,55.8542285802,38.2017364936,47.9652422839
50,54.6008135591,56.1894066026,38.4671945272,48.1306920931
51,54.6827460534,56.2417433448,38.5841888669,48.2799428901
52,54.9558692133,56.3484661336,38.6813767463,48.3911494763
53,55.264423667,56.6358102604,38.7000114695,48.58151667
54,55.3325930326,56.8424258911,38.721438933,48.6197297245
55,55.5471782681,56.9669583986,38.8459714405,48.8484877444
56,55.64678658,57.2227868279,39.0629489411,49.0856583957
57,56.1460732581,57.3170639094,39.2240657178,49.2401318039
58,56.5164599863,57.3396029187,39.2790611118,49.5547252089
59,56.7270686092,57.5527444332,39.3070562058,49.8037460939
60,56.7725558843,57.6177530859,39.3404536419,49.8392088031
61,56.7867313754,57.7050372546,39.3404536419,49.849167981
62,56.9229342939,57.7932800611,39.608907678,50.1573865814
63,57.2974588496,57.932744906,39.7023047976,50.241313407
64,57.9253741972,58.2386617599,39.7181522056,50.491701399
65,58.1036686812,58.3918373344,39.7924257422,50.619726677
66,58.167671845,58.4516436931,39.8323729991,50.7261769594
67,58.4243712307,58.6468943678,39.8684447326,51.1936607902
68,58.5881656707,58.7640321453,39.9679629216,51.4283491907
69,58.8882944933,58.9066025733,40.0837532521,51.5360601254
70,58.987396934,58.9409386472,40.1965942835,51.660451152
