Time(Iteration),LinUCBCoTheta,CAB_originalCoTheta,CAB_decreaseCoTheta,CAB_optimalCoTheta,CAB_increaseCoTheta,,,,,,
0,0.971981656319,0.974076110101,0.971981656319,0.971981656319,0.971981656319,,,,,,
1,0.949424502792,0.951243927418,0.931508271286,0.931508271286,0.949424502792,,,,,,
2,0.929232761442,0.938695906543,0.907718216202,0.907718216202,0.929232761442,,,,,,
3,0.913823177208,0.923040058774,0.872599767132,0.872599767132,0.913823177208,,,,,,
4,0.897991823275,0.899243596162,0.854273964601,0.854273964601,0.89768789127,,,,,,
5,0.885501001097,0.882432155209,0.844691625419,0.844691625419,0.885389558731,,,,,,
6,0.865993548054,0.860843213564,0.829611302163,0.829611302163,0.866130145837,,,,,,
7,0.843236897349,0.843996989685,0.814603494813,0.814603494813,0.841353223919,,,,,,
8,0.830809561388,0.831839904701,0.794757280278,0.794757280278,0.829186872304,,,,,,
9,0.802229269933,0.806054347214,0.773835982807,0.773835982807,0.800693529468,,,,,,
10,0.777509200888,0.782519768606,0.749774796954,0.749774796954,0.778374397738,,,,,,
11,0.769523738411,0.77534069257,0.734444660368,0.734444660368,0.771279744052,,,,,,
12,0.751214533601,0.763223500754,0.723272852966,0.723272852966,0.752228086806,,,,,,
13,0.735354277179,0.742784847767,0.70399236508,0.70399236508,0.730136557829,,,,,,
14,0.725105233815,0.723867220019,0.689152129798,0.689152129798,0.721691838589,,,,,,
15,0.71700580885,0.710339404526,0.682460010049,0.682460010049,0.711680945837,,,,,,
16,0.702286462732,0.685575447206,0.67134408564,0.67134408564,0.698019847104,,,,,,
17,0.689950935401,0.679007860496,0.656348320812,0.656348320812,0.683919305559,,,,,,
18,0.677716192691,0.675397482374,0.647973679155,0.647973679155,0.670375049896,,,,,,
19,0.669978983241,0.670010639625,0.643624847427,0.643624847427,0.663904583633,,,,,,
20,0.660901499725,0.66354085753,0.633404487305,0.633404487305,0.655280905899,,,,,,
21,0.651916534412,0.651764766266,0.629395215586,0.629395215586,0.646990958983,,,,,,
22,0.641260919899,0.633352721232,0.614478132685,0.614478132685,0.637676740663,,,,,,
23,0.626238816225,0.627131330144,0.607249447458,0.607249447458,0.622231435736,,,,,,
24,0.618606365559,0.613635412158,0.600802819395,0.600802819395,0.614052712233,,,,,,
25,0.612986994606,0.605436728564,0.592337304015,0.592337304015,0.608801972036,,,,,,
26,0.600466303826,0.590141886321,0.582625318858,0.582625318858,0.592455933571,,,,,,
27,0.592287997722,0.58143255174,0.573025097004,0.573025097004,0.582281784776,,,,,,
28,0.583156809232,0.578103076113,0.570839057377,0.570839057377,0.573313348641,,,,,,
29,0.577136862804,0.571859757414,0.564234152932,0.564234152932,0.566371982624,,,,,,
30,0.565692588473,0.56246511978,0.554679131046,0.554679131046,0.552953532563,,,,,,
31,0.55555464453,0.557390245351,0.548415603584,0.548415603584,0.543469417453,,,,,,
32,0.549103666196,0.549768770813,0.544818043464,0.544818043464,0.539122213733,,,,,,
33,0.541410898222,0.543478641021,0.539267616317,0.539267616317,0.532101391357,,,,,,
34,0.535570044378,0.53821921905,0.534118259821,0.534118259821,0.526012261776,,,,,,
35,0.525060363501,0.531649933253,0.530642406383,0.530642406383,0.520718478732,,,,,,
36,0.519080043652,0.525381183326,0.528505823397,0.528505823397,0.516162609162,,,,,,
37,0.516167594754,0.523239400402,0.526093805373,0.526093805373,0.513637220835,,,,,,
38,0.510140423573,0.51413122641,0.521407964305,0.521407964305,0.504872205319,,,,,,
39,0.506106718436,0.508140003292,0.519622142326,0.519622142326,0.498823436485,,,,,,
40,0.500060855387,0.49978256881,0.514646285326,0.514646285326,0.493461775102,,,,,,
41,0.491562579761,0.489858429528,0.510644513692,0.510644513692,0.484983608547,,,,,,
42,0.481875284894,0.483516957966,0.503504291889,0.503504291889,0.475894520956,,,,,,
43,0.476150047969,0.481840573742,0.498441283906,0.498441283906,0.472333713953,,,,,,
44,0.469535706098,0.474284415537,0.489864223176,0.489864223176,0.464430520112,,,,,,
45,0.467505243269,0.470676518185,0.484850775382,0.484850775382,0.462227698422,,,,,,
46,0.461673657338,0.463453604231,0.483281147849,0.483281147849,0.456715958168,,,,,,
47,0.457882599568,0.461418376222,0.479154101438,0.479154101438,0.453079721994,,,,,,
48,0.453098498642,0.459825449947,0.476355068558,0.476355068558,0.449354132692,,,,,,
49,0.447899726952,0.45604540006,0.47357354876,0.47357354876,0.44571313969,,,,,,
50,0.43760771797,0.454254186019,0.471921280421,0.471784280016,0.437313314983,,,,,,
51,0.435366917768,0.448785067047,0.470547897322,0.46983718326,0.432683609,,,,,,
52,0.429962522713,0.445593738005,0.468708350099,0.467861630818,0.429887419445,,,,,,
53,0.42853480398,0.441442139388,0.467115691369,0.466236711932,0.424099705979,,,,,,
54,0.42522051907,0.436932226628,0.464804949114,0.463790716202,0.418234975441,,,,,,
55,0.423858804383,0.432933904993,0.46232582916,0.462288599693,0.417014827276,,,,,,
56,0.422233800207,0.431442853235,0.460882551025,0.461043384051,0.416034607029,,,,,,
57,0.419665883148,0.429284951513,0.457971532604,0.458340504056,0.411629157977,,,,,,
58,0.417445170082,0.425829553889,0.456562231717,0.456962266042,0.408857772552,,,,,,
59,0.415546722145,0.42150180555,0.454024145488,0.454467898624,0.406953289569,,,,,,
60,0.412509600158,0.419100086279,0.450916802002,0.451307288507,0.403610797528,,,,,,
61,0.411718785368,0.4174328272,0.448287348881,0.44865079839,0.402613301051,,,,,,
62,0.409249746724,0.41604954504,0.44772740173,0.44813250797,0.400353148394,,,,,,
63,0.407119487016,0.414810043989,0.446736045101,0.447313619688,0.396319585148,,,,,,
64,0.403429874048,0.410239869623,0.444512196678,0.445320714574,0.393888278728,,,,,,
65,0.40163752318,0.403451459786,0.443847350689,0.444599202672,0.391738738297,,,,,,
66,0.395964593859,0.399184559744,0.440171942826,0.440966230956,0.388744278329,,,,,,
67,0.395273111697,0.398314551282,0.437620568212,0.438677450659,0.388131414131,,,,,,
68,0.393707223059,0.396739150941,0.436780320982,0.437975692127,0.386258706257,,,,,,
69,0.392251928639,0.39523529987,0.435302028435,0.436515108956,0.383411242282,,,,,,
70,0.390392829743,0.393775406114,0.432344059556,0.435093273371,0.382548672581,,,,,,
71,0.388198359287,0.392614962454,0.430881040669,0.432480682753,0.381123937851,,,,,,
72,0.387813164808,0.39220696774,0.429586407916,0.431215067449,0.380977181896,,,,,,
73,0.38547945486,0.38921042618,0.424455108322,0.4262368391,0.379187860528,,,,,,
74,0.383747990275,0.388365490676,0.423758222577,0.425583975653,0.377674846186,,,,,,
75,0.382277743035,0.385426589842,0.420304730086,0.423054328218,0.376458645523,,,,,,
76,0.382727556884,0.385739218965,0.419412416786,0.421842616721,0.376874782013,,,,,,
77,0.38003800071,0.384464400478,0.41733190139,0.419985784326,0.37475482177,,,,,,
78,0.379711942751,0.383909747729,0.416811399515,0.419433286937,0.375068779784,,,,,,
79,0.37721225025,0.381679633722,0.414294279274,0.41716022211,0.373039223839,,,,,,
80,0.375412509147,0.379562521859,0.408600729292,0.40953628545,0.370885619426,,,,,,
81,0.374664814979,0.375042327839,0.405889587127,0.407393033614,0.368329271826,,,,,,
82,0.374151450005,0.374900717647,0.404696108176,0.406257475648,0.368456372734,,,,,,
83,0.373573861502,0.374258832349,0.403728874698,0.405266876623,0.36779660368,,,,,,
84,0.368249808194,0.370987217676,0.402357359358,0.404115134042,0.366969376843,,,,,,
85,0.367300880116,0.369872775811,0.401110708926,0.402638941459,0.365923571152,,,,,,
86,0.365783668442,0.367623438607,0.397899846053,0.399461923036,0.364967248558,,,,,,
87,0.363627353658,0.365614269689,0.396602721391,0.398345840431,0.362555761869,,,,,,
88,0.362703049243,0.365289117886,0.396087338244,0.397896869816,0.360258454593,,,,,,
89,0.362415752618,0.361948506222,0.394240725337,0.395831410932,0.359490260768,,,,,,
90,0.361893438545,0.362093769882,0.394446194914,0.39600758744,0.359223739137,,,,,,
91,0.360871659571,0.361352807254,0.389678778333,0.391034657685,0.358246642134,,,,,,
92,0.359759563587,0.359065163163,0.388130799491,0.389967548429,0.356377283029,,,,,,
93,0.358308094645,0.357385829164,0.387752875572,0.389523794717,0.355154965056,,,,,,
94,0.358174597786,0.35528732185,0.38674025744,0.38869755517,0.354813677066,,,,,,
95,0.35687849246,0.353464777788,0.384046647723,0.38597182321,0.353212012779,,,,,,
96,0.355828832484,0.350058391066,0.382894165689,0.384510437936,0.352610194921,,,,,,
97,0.354636540461,0.349559740005,0.382547053751,0.383953016182,0.351193010627,,,,,,
98,0.352689848519,0.349029679594,0.381947784259,0.383448441778,0.349427653469,,,,,,
99,0.351560004414,0.348518634866,0.381425746911,0.382802391246,0.348354841662,,,,,,
100,0.350891799085,0.348268087649,0.381163951331,0.382521944976,0.347831689868,,,,,,
101,0.349902530411,0.346808988082,0.380425831249,0.381791921826,0.346658535091,,,,,,
102,0.348798301825,0.34562595064,0.378870415311,0.380209035646,0.345805544436,,,,,,
103,0.347225117797,0.344806652647,0.37821673464,0.379638734319,0.344528098094,,,,,,
104,0.346215935748,0.343529065598,0.375960539877,0.377036610546,0.343458987852,,,,,,
