Time(Iteration),CAB_originalCoTheta,CAB_decreaseCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,,,,,,
0,0.967761168791,0.97558567295,0.97558567295,0.976496451889,,,,,,
1,0.95603581236,0.938050471008,0.938050471008,0.958253701988,,,,,,
2,0.934908913325,0.919947085048,0.919947085048,0.935495506386,,,,,,
3,0.907967490667,0.90126401771,0.90126401771,0.912941590392,,,,,,
4,0.889547724834,0.895446548202,0.895446548202,0.893208785314,,,,,,
5,0.865068349514,0.8766338051,0.8766338051,0.870098333199,,,,,,
6,0.849019729172,0.864154457295,0.864154457295,0.861816970906,,,,,,
7,0.829208575051,0.848976854708,0.848976854708,0.844083993165,,,,,,
8,0.80541859703,0.834548279313,0.834548279313,0.824240959066,,,,,,
9,0.784214065079,0.818330594184,0.818330594184,0.808389697508,,,,,,
10,0.770727285023,0.800052433248,0.800052433248,0.800935223209,,,,,,
11,0.752659795948,0.784706352537,0.784706352537,0.790534398726,,,,,,
12,0.740166008402,0.775090979304,0.775090979304,0.776564593142,,,,,,
13,0.729122980507,0.756208700504,0.756208700504,0.760946680507,,,,,,
14,0.713886556279,0.749861695377,0.749861695377,0.749119951944,,,,,,
15,0.704954066913,0.739973999689,0.739973999689,0.74540076203,,,,,,
16,0.695631197782,0.736622104506,0.736622104506,0.730012843979,,,,,,
17,0.682518563786,0.725529296161,0.725529296161,0.717975888029,,,,,,
18,0.678891245018,0.722728357807,0.722728357807,0.710257993999,,,,,,
19,0.664436922507,0.71768903377,0.71768903377,0.689967969631,,,,,,
20,0.658233902675,0.710469189489,0.710469189489,0.679530642111,,,,,,
21,0.644768723099,0.700552853399,0.700552853399,0.66734465088,,,,,,
22,0.636402889197,0.688042279422,0.688042279422,0.653213664744,,,,,,
23,0.631504966444,0.679892076417,0.679892076417,0.642646904768,,,,,,
24,0.625536316339,0.672149966024,0.672149966024,0.63962842855,,,,,,
25,0.617216239775,0.66493600702,0.66493600702,0.629992420478,,,,,,
26,0.61263456814,0.65639226743,0.65639226743,0.62450923349,,,,,,
27,0.608708960241,0.645039661281,0.645039661281,0.612630498972,,,,,,
28,0.604688165216,0.640181055708,0.640181055708,0.606113711801,,,,,,
29,0.594951007633,0.630710171428,0.630710171428,0.594826115169,,,,,,
30,0.590360854685,0.621616155826,0.621616155826,0.59136291655,,,,,,
31,0.589293302735,0.618436056042,0.618436056042,0.587769820625,,,,,,
32,0.581258418516,0.614320751217,0.614320751217,0.580718569241,,,,,,
33,0.572571508533,0.6069488833,0.6069488833,0.572465393153,,,,,,
34,0.569942993819,0.597311704599,0.597311704599,0.56248784921,,,,,,
35,0.55832676661,0.584657970833,0.584657970833,0.553788061376,,,,,,
36,0.553438373762,0.581617167247,0.581617167247,0.547031156651,,,,,,
37,0.550226064108,0.578473711197,0.578473711197,0.543082022189,,,,,,
38,0.54508000097,0.571459549822,0.571459549822,0.539695461695,,,,,,
39,0.542616486525,0.566800440102,0.566800440102,0.537953218555,,,,,,
40,0.542542521899,0.565766959141,0.565766959141,0.535757274157,,,,,,
41,0.536760535576,0.561084933035,0.561084933035,0.530709132077,,,,,,
42,0.534064381711,0.559492000936,0.559492000936,0.5270810315,,,,,,
43,0.525495452034,0.551067472686,0.551067472686,0.518847453988,,,,,,
44,0.524668373483,0.545620357484,0.545620357484,0.517942068891,,,,,,
45,0.52196444834,0.543727482858,0.543727482858,0.511904919625,,,,,,
46,0.518831282804,0.540264645155,0.540264645155,0.510425896301,,,,,,
47,0.513222340191,0.530980812561,0.530980812561,0.505899939721,,,,,,
48,0.506512770573,0.524273972114,0.524273972114,0.498595685975,,,,,,
49,0.499729044225,0.520765104263,0.520765104263,0.496011259645,,,,,,
50,0.498218524308,0.519767213387,0.519755588523,0.493885119963,,,,,,
51,0.495509139729,0.517680816019,0.51775444945,0.491584843549,,,,,,
52,0.493075294461,0.514015809069,0.514074314981,0.489839947943,,,,,,
