Time(Iteration),CAB_true_increaseCoTheta,CAB_originalCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,,,,,,
0,0.972091123274,0.977487539053,0.972091123274,0.972091123274,,,,,,
1,0.953330197718,0.957609486573,0.944026570124,0.953330197718,,,,,,
2,0.92866697518,0.934835003447,0.922142613123,0.932255595656,,,,,,
3,0.901394534318,0.900122416073,0.900754716349,0.908479234317,,,,,,
4,0.887945505042,0.876184561808,0.883808337534,0.892187823937,,,,,,
5,0.861039606681,0.85503067436,0.854921102554,0.865651222768,,,,,,
6,0.84751431329,0.826782723401,0.832629009594,0.847504135587,,,,,,
7,0.83556035876,0.812983326185,0.816359594078,0.834299777387,,,,,,
8,0.822567564102,0.799289006699,0.803057344382,0.820360788147,,,,,,
9,0.808680797787,0.7806984157,0.787184202811,0.805527858371,,,,,,
10,0.792849979795,0.764371050013,0.772677407495,0.78605307627,,,,,,
11,0.776709964481,0.747009035242,0.73965324192,0.770293176834,,,,,,
12,0.755531764289,0.736167507028,0.725272663546,0.757682145073,,,,,,
13,0.728395575866,0.726124285103,0.714841432305,0.745786196495,,,,,,
14,0.711949776589,0.702476487405,0.701577290461,0.734092078894,,,,,,
15,0.697126190989,0.689428810672,0.685590969308,0.717720234251,,,,,,
16,0.68323769265,0.679665087903,0.671960900776,0.706785772046,,,,,,
17,0.668450353371,0.671225898431,0.654930084094,0.696707832701,,,,,,
18,0.649160701529,0.653941984878,0.646433311236,0.678234214269,,,,,,
19,0.623884910068,0.636973902561,0.626569809543,0.649390138914,,,,,,
20,0.615195521361,0.628056130091,0.618038543158,0.638555580996,,,,,,
21,0.608966547007,0.61626460042,0.608938461376,0.629203834066,,,,,,
22,0.594888774112,0.602392726122,0.599234975819,0.618217436607,,,,,,
23,0.581579492003,0.584566601981,0.590676047165,0.60840406974,,,,,,
24,0.562706407062,0.569711964984,0.582143047917,0.596332888517,,,,,,
25,0.555937985426,0.561709245412,0.578009994662,0.586359725604,,,,,,
26,0.538823024447,0.553350337436,0.560553816796,0.570762421556,,,,,,
27,0.52820290508,0.541275710485,0.551345204008,0.558836786889,,,,,,
28,0.519657685724,0.53165422971,0.541873874641,0.546265347834,,,,,,
29,0.515087638634,0.525653024269,0.534374719037,0.536705915255,,,,,,
30,0.507453968964,0.516051591666,0.526522677799,0.527399969981,,,,,,
31,0.500262777413,0.508524774685,0.516029281458,0.523368598089,,,,,,
32,0.492259622188,0.506022111841,0.510359868159,0.516659870429,,,,,,
33,0.486803577292,0.500255002258,0.50239358472,0.512518083761,,,,,,
34,0.479233205939,0.496000188422,0.499569209678,0.507624127617,,,,,,
35,0.472225420998,0.489976211169,0.495848831947,0.50496147846,,,,,,
36,0.4664227559,0.485053719435,0.48969626655,0.502125642969,,,,,,
37,0.462496886426,0.477875100979,0.486024601044,0.493023158915,,,,,,
38,0.459055357502,0.469886362724,0.483229611514,0.490174503624,,,,,,
39,0.451047587115,0.465780076408,0.478955212221,0.488463335895,,,,,,
40,0.433644802853,0.451819241492,0.464666195343,0.466674721886,,,,,,
41,0.431007396967,0.4456503255,0.461696989045,0.464028536382,,,,,,
42,0.427935317425,0.442722669679,0.458339517182,0.459442832299,,,,,,
43,0.42466469983,0.432956585654,0.453694766753,0.457045208532,,,,,,
44,0.42244947263,0.427609316643,0.449085492889,0.45273500937,,,,,,
45,0.418017362587,0.420218491947,0.442332033974,0.442869368883,,,,,,
46,0.413736124312,0.417536077476,0.438155311983,0.439925306904,,,,,,
