Time(Iteration),CAB_originalCoTheta,CAB_true_decreaseCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,,,,,,
0,0.964491688439,0.975268774409,0.975268774409,0.974721316805,,,,,,
1,0.937142489455,0.943212398227,0.934501835658,0.951627998247,,,,,,
2,0.920110254527,0.924908112499,0.906259998999,0.912960812179,,,,,,
3,0.886353635249,0.888475203257,0.880205456432,0.884965740839,,,,,,
4,0.852856189936,0.865379787715,0.856142522262,0.862107473502,,,,,,
5,0.833374267948,0.845126939422,0.840031574342,0.843645893158,,,,,,
6,0.815283678542,0.832016065385,0.81610215971,0.8231588404,,,,,,
7,0.796567903543,0.798035105333,0.787059395818,0.802940270163,,,,,,
8,0.77790630471,0.772638704609,0.759920213663,0.784874542129,,,,,,
9,0.755332516902,0.748303964677,0.740694321799,0.763480688717,,,,,,
10,0.735304605476,0.728826377919,0.717413608792,0.736413961459,,,,,,
11,0.723398910822,0.709777030069,0.703831682912,0.716827075324,,,,,,
12,0.709943565706,0.692015701714,0.695203204773,0.703470112563,,,,,,
13,0.690779309625,0.678046808609,0.678025159207,0.689446156708,,,,,,
14,0.681531467433,0.663971011702,0.657501785943,0.677971112757,,,,,,
15,0.666169347513,0.658120365143,0.647270423752,0.668736742482,,,,,,
16,0.658368191837,0.638666830019,0.634738878563,0.656061063248,,,,,,
17,0.646868938709,0.618570374144,0.62247338032,0.638170280029,,,,,,
18,0.639009625524,0.608364950205,0.611684055563,0.630209325651,,,,,,
19,0.629317699589,0.595717925202,0.601970306857,0.620132947064,,,,,,
20,0.619770467063,0.589067654556,0.594776699226,0.605796536734,,,,,,
21,0.609064850247,0.581480795266,0.587083460623,0.600476824235,,,,,,
22,0.598359920557,0.572950572468,0.576367078728,0.591891061021,,,,,,
23,0.584255627491,0.564572986169,0.569419286464,0.586823353626,,,,,,
24,0.579468064789,0.551176125099,0.566849359653,0.582054996993,,,,,,
25,0.576691276957,0.547988734551,0.561973667766,0.575683548489,,,,,,
26,0.564278771007,0.537201537975,0.556724421866,0.565942917653,,,,,,
27,0.551911956176,0.530378732835,0.548136532862,0.552369173549,,,,,,
28,0.543562965378,0.520970336878,0.545029143477,0.543789562275,,,,,,
29,0.539354545776,0.513690232308,0.540976540385,0.538766948659,,,,,,
30,0.537287037128,0.509291053165,0.533926623079,0.528721599512,,,,,,
31,0.527482879292,0.505966912027,0.521575488392,0.520551267129,,,,,,
32,0.522373688384,0.501429138433,0.514780979121,0.515606919578,,,,,,
33,0.515726312236,0.493662881326,0.505825112511,0.507753924344,,,,,,
34,0.505247758546,0.487832124672,0.495232444191,0.498396933257,,,,,,
35,0.493702731505,0.483975668381,0.492041941353,0.48745727925,,,,,,
